key,备注,强化id,强化属性方案id,等级,增加固定属性,增加百分比属性(万分比）,属性1,值1,属性2,值2,百分比1,值1,百分比2,值2
10016_23,,10016_23,10016,23,法术防御_103;生命_718,,法术防御,103,生命,718,,,,
10016_24,,10016_24,10016,24,法术防御_107;生命_750,,法术防御,107,生命,750,,,,
10016_25,,10016_25,10016,25,法术防御_112;生命_781,,法术防御,112,生命,781,,,,
10016_26,,10016_26,10016,26,法术防御_116;生命_812,,法术防御,116,生命,812,,,,
10016_27,,10016_27,10016,27,法术防御_120;生命_843,,法术防御,120,生命,843,,,,
10016_28,,10016_28,10016,28,法术防御_125;生命_875,,法术防御,125,生命,875,,,,
10016_29,,10016_29,10016,29,法术防御_129;生命_906,,法术防御,129,生命,906,,,,
10016_30,,10016_30,10016,30,法术防御_134;生命_937,,法术防御,134,生命,937,,,,
10016_31,,10016_31,10016,31,法术防御_138;生命_968,,法术防御,138,生命,968,,,,
10016_32,,10016_32,10016,32,法术防御_143;生命_1000,,法术防御,143,生命,1000,,,,
10016_33,,10016_33,10016,33,法术防御_147;生命_1031,,法术防御,147,生命,1031,,,,
10016_34,,10016_34,10016,34,法术防御_152;生命_1062,,法术防御,152,生命,1062,,,,
10016_35,,10016_35,10016,35,法术防御_156;生命_1093,,法术防御,156,生命,1093,,,,
10016_36,,10016_36,10016,36,法术防御_161;生命_1125,,法术防御,161,生命,1125,,,,
10016_37,,10016_37,10016,37,法术防御_165;生命_1156,,法术防御,165,生命,1156,,,,
10016_38,,10016_38,10016,38,法术防御_170;生命_1187,,法术防御,170,生命,1187,,,,
10016_39,,10016_39,10016,39,法术防御_174;生命_1218,,法术防御,174,生命,1218,,,,
10016_40,,10016_40,10016,40,法术防御_179;生命_1250,,法术防御,179,生命,1250,,,,
10016_41,,10016_41,10016,41,法术防御_183;生命_1281,,法术防御,183,生命,1281,,,,
10016_42,,10016_42,10016,42,法术防御_188;生命_1312,,法术防御,188,生命,1312,,,,
10016_43,,10016_43,10016,43,法术防御_192;生命_1343,,法术防御,192,生命,1343,,,,
10016_44,,10016_44,10016,44,法术防御_197;生命_1375,,法术防御,197,生命,1375,,,,
10016_45,,10016_45,10016,45,法术防御_201;生命_1406,,法术防御,201,生命,1406,,,,
10016_46,,10016_46,10016,46,法术防御_206;生命_1437,,法术防御,206,生命,1437,,,,
10016_47,,10016_47,10016,47,法术防御_210;生命_1468,,法术防御,210,生命,1468,,,,
10016_48,,10016_48,10016,48,法术防御_215;生命_1500,,法术防御,215,生命,1500,,,,
10016_49,,10016_49,10016,49,法术防御_219;生命_1531,,法术防御,219,生命,1531,,,,
10016_50,,10016_50,10016,50,法术防御_224;生命_1562,,法术防御,224,生命,1562,,,,
10016_51,,10016_51,10016,51,法术防御_228;生命_1593,,法术防御,228,生命,1593,,,,
10016_52,,10016_52,10016,52,法术防御_232;生命_1625,,法术防御,232,生命,1625,,,,
10016_53,,10016_53,10016,53,法术防御_237;生命_1656,,法术防御,237,生命,1656,,,,
10016_54,,10016_54,10016,54,法术防御_241;生命_1687,,法术防御,241,生命,1687,,,,
10016_55,,10016_55,10016,55,法术防御_246;生命_1718,,法术防御,246,生命,1718,,,,
10016_56,,10016_56,10016,56,法术防御_250;生命_1750,,法术防御,250,生命,1750,,,,
10016_57,,10016_57,10016,57,法术防御_255;生命_1781,,法术防御,255,生命,1781,,,,
10016_58,,10016_58,10016,58,法术防御_259;生命_1812,,法术防御,259,生命,1812,,,,
10016_59,,10016_59,10016,59,法术防御_264;生命_1843,,法术防御,264,生命,1843,,,,
10016_60,,10016_60,10016,60,法术防御_268;生命_1875,,法术防御,268,生命,1875,,,,
10016_61,,10016_61,10016,61,法术防御_273;生命_1906,,法术防御,273,生命,1906,,,,
10016_62,,10016_62,10016,62,法术防御_277;生命_1937,,法术防御,277,生命,1937,,,,
10016_63,,10016_63,10016,63,法术防御_282;生命_1968,,法术防御,282,生命,1968,,,,
10016_64,,10016_64,10016,64,法术防御_286;生命_2000,,法术防御,286,生命,2000,,,,
10016_65,,10016_65,10016,65,法术防御_291;生命_2031,,法术防御,291,生命,2031,,,,
10016_66,,10016_66,10016,66,法术防御_295;生命_2062,,法术防御,295,生命,2062,,,,
10016_67,,10016_67,10016,67,法术防御_300;生命_2093,,法术防御,300,生命,2093,,,,
10016_68,,10016_68,10016,68,法术防御_304;生命_2125,,法术防御,304,生命,2125,,,,
10016_69,,10016_69,10016,69,法术防御_309;生命_2156,,法术防御,309,生命,2156,,,,
10016_70,,10016_70,10016,70,法术防御_313;生命_2187,,法术防御,313,生命,2187,,,,
10016_71,,10016_71,10016,71,法术防御_318;生命_2218,,法术防御,318,生命,2218,,,,
10016_72,,10016_72,10016,72,法术防御_322;生命_2250,,法术防御,322,生命,2250,,,,
10016_73,,10016_73,10016,73,法术防御_327;生命_2281,,法术防御,327,生命,2281,,,,
10016_74,,10016_74,10016,74,法术防御_331;生命_2312,,法术防御,331,生命,2312,,,,
10016_75,,10016_75,10016,75,法术防御_336;生命_2343,,法术防御,336,生命,2343,,,,
10016_76,,10016_76,10016,76,法术防御_340;生命_2375,,法术防御,340,生命,2375,,,,
10016_77,,10016_77,10016,77,法术防御_344;生命_2406,,法术防御,344,生命,2406,,,,
10016_78,,10016_78,10016,78,法术防御_349;生命_2437,,法术防御,349,生命,2437,,,,
10016_79,,10016_79,10016,79,法术防御_353;生命_2468,,法术防御,353,生命,2468,,,,
10016_80,,10016_80,10016,80,法术防御_358;生命_2500,,法术防御,358,生命,2500,,,,
10016_81,,10016_81,10016,81,法术防御_362;生命_2531,,法术防御,362,生命,2531,,,,
10016_82,,10016_82,10016,82,法术防御_367;生命_2562,,法术防御,367,生命,2562,,,,
10016_83,,10016_83,10016,83,法术防御_371;生命_2593,,法术防御,371,生命,2593,,,,
10016_84,,10016_84,10016,84,法术防御_376;生命_2625,,法术防御,376,生命,2625,,,,
10016_85,,10016_85,10016,85,法术防御_380;生命_2656,,法术防御,380,生命,2656,,,,
10016_86,,10016_86,10016,86,法术防御_385;生命_2687,,法术防御,385,生命,2687,,,,
10016_87,,10016_87,10016,87,法术防御_389;生命_2718,,法术防御,389,生命,2718,,,,
10016_88,,10016_88,10016,88,法术防御_394;生命_2750,,法术防御,394,生命,2750,,,,
10016_89,,10016_89,10016,89,法术防御_398;生命_2781,,法术防御,398,生命,2781,,,,
10016_90,,10016_90,10016,90,法术防御_403;生命_2812,,法术防御,403,生命,2812,,,,
10017_1,,10017_1,10017,1,物理攻击_11;法术攻击_9,,物理攻击,11,法术攻击,9,,,,
10017_2,,10017_2,10017,2,物理攻击_22;法术攻击_19,,物理攻击,22,法术攻击,19,,,,
10017_3,,10017_3,10017,3,物理攻击_33;法术攻击_28,,物理攻击,33,法术攻击,28,,,,
10017_4,,10017_4,10017,4,物理攻击_45;法术攻击_38,,物理攻击,45,法术攻击,38,,,,
10017_5,,10017_5,10017,5,物理攻击_56;法术攻击_48,,物理攻击,56,法术攻击,48,,,,
10017_6,,10017_6,10017,6,物理攻击_67;法术攻击_57,,物理攻击,67,法术攻击,57,,,,
10017_7,,10017_7,10017,7,物理攻击_78;法术攻击_67,,物理攻击,78,法术攻击,67,,,,
10017_8,,10017_8,10017,8,物理攻击_90;法术攻击_76,,物理攻击,90,法术攻击,76,,,,
10017_9,,10017_9,10017,9,物理攻击_101;法术攻击_86,,物理攻击,101,法术攻击,86,,,,
10017_10,,10017_10,10017,10,物理攻击_112;法术攻击_96,,物理攻击,112,法术攻击,96,,,,
10017_11,,10017_11,10017,11,物理攻击_123;法术攻击_105,,物理攻击,123,法术攻击,105,,,,
10017_12,,10017_12,10017,12,物理攻击_135;法术攻击_115,,物理攻击,135,法术攻击,115,,,,
10017_13,,10017_13,10017,13,物理攻击_146;法术攻击_124,,物理攻击,146,法术攻击,124,,,,
10017_14,,10017_14,10017,14,物理攻击_157;法术攻击_134,,物理攻击,157,法术攻击,134,,,,
10017_15,,10017_15,10017,15,物理攻击_168;法术攻击_144,,物理攻击,168,法术攻击,144,,,,
10017_16,,10017_16,10017,16,物理攻击_180;法术攻击_153,,物理攻击,180,法术攻击,153,,,,
10017_17,,10017_17,10017,17,物理攻击_191;法术攻击_163,,物理攻击,191,法术攻击,163,,,,
10017_18,,10017_18,10017,18,物理攻击_202;法术攻击_172,,物理攻击,202,法术攻击,172,,,,
10017_19,,10017_19,10017,19,物理攻击_213;法术攻击_182,,物理攻击,213,法术攻击,182,,,,
10017_20,,10017_20,10017,20,物理攻击_225;法术攻击_192,,物理攻击,225,法术攻击,192,,,,
10017_21,,10017_21,10017,21,物理攻击_236;法术攻击_201,,物理攻击,236,法术攻击,201,,,,
10017_22,,10017_22,10017,22,物理攻击_247;法术攻击_211,,物理攻击,247,法术攻击,211,,,,
10017_23,,10017_23,10017,23,物理攻击_258;法术攻击_220,,物理攻击,258,法术攻击,220,,,,
10017_24,,10017_24,10017,24,物理攻击_270;法术攻击_230,,物理攻击,270,法术攻击,230,,,,
10017_25,,10017_25,10017,25,物理攻击_281;法术攻击_240,,物理攻击,281,法术攻击,240,,,,
10017_26,,10017_26,10017,26,物理攻击_292;法术攻击_249,,物理攻击,292,法术攻击,249,,,,
10017_27,,10017_27,10017,27,物理攻击_303;法术攻击_259,,物理攻击,303,法术攻击,259,,,,
10017_28,,10017_28,10017,28,物理攻击_315;法术攻击_268,,物理攻击,315,法术攻击,268,,,,
10017_29,,10017_29,10017,29,物理攻击_326;法术攻击_278,,物理攻击,326,法术攻击,278,,,,
10017_30,,10017_30,10017,30,物理攻击_337;法术攻击_288,,物理攻击,337,法术攻击,288,,,,
10017_31,,10017_31,10017,31,物理攻击_348;法术攻击_297,,物理攻击,348,法术攻击,297,,,,
10017_32,,10017_32,10017,32,物理攻击_360;法术攻击_307,,物理攻击,360,法术攻击,307,,,,
10017_33,,10017_33,10017,33,物理攻击_371;法术攻击_316,,物理攻击,371,法术攻击,316,,,,
10017_34,,10017_34,10017,34,物理攻击_382;法术攻击_326,,物理攻击,382,法术攻击,326,,,,
10017_35,,10017_35,10017,35,物理攻击_393;法术攻击_336,,物理攻击,393,法术攻击,336,,,,
10017_36,,10017_36,10017,36,物理攻击_405;法术攻击_345,,物理攻击,405,法术攻击,345,,,,
10017_37,,10017_37,10017,37,物理攻击_416;法术攻击_355,,物理攻击,416,法术攻击,355,,,,
10017_38,,10017_38,10017,38,物理攻击_427;法术攻击_364,,物理攻击,427,法术攻击,364,,,,
10017_39,,10017_39,10017,39,物理攻击_438;法术攻击_374,,物理攻击,438,法术攻击,374,,,,
10017_40,,10017_40,10017,40,物理攻击_450;法术攻击_384,,物理攻击,450,法术攻击,384,,,,
10017_41,,10017_41,10017,41,物理攻击_461;法术攻击_393,,物理攻击,461,法术攻击,393,,,,
10017_42,,10017_42,10017,42,物理攻击_472;法术攻击_403,,物理攻击,472,法术攻击,403,,,,
10017_43,,10017_43,10017,43,物理攻击_483;法术攻击_412,,物理攻击,483,法术攻击,412,,,,
10017_44,,10017_44,10017,44,物理攻击_495;法术攻击_422,,物理攻击,495,法术攻击,422,,,,
10017_45,,10017_45,10017,45,物理攻击_506;法术攻击_432,,物理攻击,506,法术攻击,432,,,,
10017_46,,10017_46,10017,46,物理攻击_517;法术攻击_441,,物理攻击,517,法术攻击,441,,,,
10017_47,,10017_47,10017,47,物理攻击_528;法术攻击_451,,物理攻击,528,法术攻击,451,,,,
10017_48,,10017_48,10017,48,物理攻击_540;法术攻击_460,,物理攻击,540,法术攻击,460,,,,
10017_49,,10017_49,10017,49,物理攻击_551;法术攻击_470,,物理攻击,551,法术攻击,470,,,,
10017_50,,10017_50,10017,50,物理攻击_562;法术攻击_480,,物理攻击,562,法术攻击,480,,,,
10017_51,,10017_51,10017,51,物理攻击_573;法术攻击_489,,物理攻击,573,法术攻击,489,,,,
10017_52,,10017_52,10017,52,物理攻击_585;法术攻击_499,,物理攻击,585,法术攻击,499,,,,
10017_53,,10017_53,10017,53,物理攻击_596;法术攻击_508,,物理攻击,596,法术攻击,508,,,,
10017_54,,10017_54,10017,54,物理攻击_607;法术攻击_518,,物理攻击,607,法术攻击,518,,,,
10017_55,,10017_55,10017,55,物理攻击_618;法术攻击_528,,物理攻击,618,法术攻击,528,,,,
10017_56,,10017_56,10017,56,物理攻击_630;法术攻击_537,,物理攻击,630,法术攻击,537,,,,
10017_57,,10017_57,10017,57,物理攻击_641;法术攻击_547,,物理攻击,641,法术攻击,547,,,,
10017_58,,10017_58,10017,58,物理攻击_652;法术攻击_556,,物理攻击,652,法术攻击,556,,,,
10017_59,,10017_59,10017,59,物理攻击_663;法术攻击_566,,物理攻击,663,法术攻击,566,,,,
10017_60,,10017_60,10017,60,物理攻击_675;法术攻击_576,,物理攻击,675,法术攻击,576,,,,
10017_61,,10017_61,10017,61,物理攻击_686;法术攻击_585,,物理攻击,686,法术攻击,585,,,,
10017_62,,10017_62,10017,62,物理攻击_697;法术攻击_595,,物理攻击,697,法术攻击,595,,,,
10017_63,,10017_63,10017,63,物理攻击_708;法术攻击_604,,物理攻击,708,法术攻击,604,,,,
10017_64,,10017_64,10017,64,物理攻击_720;法术攻击_614,,物理攻击,720,法术攻击,614,,,,
10017_65,,10017_65,10017,65,物理攻击_731;法术攻击_624,,物理攻击,731,法术攻击,624,,,,
10017_66,,10017_66,10017,66,物理攻击_742;法术攻击_633,,物理攻击,742,法术攻击,633,,,,
10017_67,,10017_67,10017,67,物理攻击_753;法术攻击_643,,物理攻击,753,法术攻击,643,,,,
10017_68,,10017_68,10017,68,物理攻击_765;法术攻击_652,,物理攻击,765,法术攻击,652,,,,
10017_69,,10017_69,10017,69,物理攻击_776;法术攻击_662,,物理攻击,776,法术攻击,662,,,,
10017_70,,10017_70,10017,70,物理攻击_787;法术攻击_672,,物理攻击,787,法术攻击,672,,,,
10017_71,,10017_71,10017,71,物理攻击_798;法术攻击_681,,物理攻击,798,法术攻击,681,,,,
10017_72,,10017_72,10017,72,物理攻击_810;法术攻击_691,,物理攻击,810,法术攻击,691,,,,
10017_73,,10017_73,10017,73,物理攻击_821;法术攻击_700,,物理攻击,821,法术攻击,700,,,,
10017_74,,10017_74,10017,74,物理攻击_832;法术攻击_710,,物理攻击,832,法术攻击,710,,,,
10017_75,,10017_75,10017,75,物理攻击_843;法术攻击_720,,物理攻击,843,法术攻击,720,,,,
10017_76,,10017_76,10017,76,物理攻击_855;法术攻击_729,,物理攻击,855,法术攻击,729,,,,
10017_77,,10017_77,10017,77,物理攻击_866;法术攻击_739,,物理攻击,866,法术攻击,739,,,,
10017_78,,10017_78,10017,78,物理攻击_877;法术攻击_748,,物理攻击,877,法术攻击,748,,,,
10017_79,,10017_79,10017,79,物理攻击_888;法术攻击_758,,物理攻击,888,法术攻击,758,,,,
10017_80,,10017_80,10017,80,物理攻击_900;法术攻击_768,,物理攻击,900,法术攻击,768,,,,
10017_81,,10017_81,10017,81,物理攻击_911;法术攻击_777,,物理攻击,911,法术攻击,777,,,,
10017_82,,10017_82,10017,82,物理攻击_922;法术攻击_787,,物理攻击,922,法术攻击,787,,,,
10017_83,,10017_83,10017,83,物理攻击_933;法术攻击_796,,物理攻击,933,法术攻击,796,,,,
10017_84,,10017_84,10017,84,物理攻击_945;法术攻击_806,,物理攻击,945,法术攻击,806,,,,
10017_85,,10017_85,10017,85,物理攻击_956;法术攻击_816,,物理攻击,956,法术攻击,816,,,,
10017_86,,10017_86,10017,86,物理攻击_967;法术攻击_825,,物理攻击,967,法术攻击,825,,,,
10017_87,,10017_87,10017,87,物理攻击_978;法术攻击_835,,物理攻击,978,法术攻击,835,,,,
10017_88,,10017_88,10017,88,物理攻击_990;法术攻击_844,,物理攻击,990,法术攻击,844,,,,
10017_89,,10017_89,10017,89,物理攻击_1001;法术攻击_854,,物理攻击,1001,法术攻击,854,,,,
10017_90,,10017_90,10017,90,物理攻击_1012;法术攻击_864,,物理攻击,1012,法术攻击,864,,,,
10018_1,,10018_1,10018,1,生命_72,,生命,72,,0,,,,
10018_2,,10018_2,10018,2,生命_144,,生命,144,,0,,,,
10018_3,,10018_3,10018,3,生命_216,,生命,216,,0,,,,
10018_4,,10018_4,10018,4,生命_288,,生命,288,,0,,,,
10018_5,,10018_5,10018,5,生命_360,,生命,360,,0,,,,
10018_6,,10018_6,10018,6,生命_432,,生命,432,,0,,,,
10018_7,,10018_7,10018,7,生命_504,,生命,504,,0,,,,
10018_8,,10018_8,10018,8,生命_576,,生命,576,,0,,,,
10018_9,,10018_9,10018,9,生命_648,,生命,648,,0,,,,
10018_10,,10018_10,10018,10,生命_720,,生命,720,,0,,,,
10018_11,,10018_11,10018,11,生命_792,,生命,792,,0,,,,
10018_12,,10018_12,10018,12,生命_864,,生命,864,,0,,,,
10018_13,,10018_13,10018,13,生命_936,,生命,936,,0,,,,
10018_14,,10018_14,10018,14,生命_1008,,生命,1008,,0,,,,
10018_15,,10018_15,10018,15,生命_1080,,生命,1080,,0,,,,
10018_16,,10018_16,10018,16,生命_1152,,生命,1152,,0,,,,
10018_17,,10018_17,10018,17,生命_1224,,生命,1224,,0,,,,
10018_18,,10018_18,10018,18,生命_1296,,生命,1296,,0,,,,
10018_19,,10018_19,10018,19,生命_1368,,生命,1368,,0,,,,
10018_20,,10018_20,10018,20,生命_1440,,生命,1440,,0,,,,
10018_21,,10018_21,10018,21,生命_1512,,生命,1512,,0,,,,
10018_22,,10018_22,10018,22,生命_1584,,生命,1584,,0,,,,
10018_23,,10018_23,10018,23,生命_1656,,生命,1656,,0,,,,
10018_24,,10018_24,10018,24,生命_1728,,生命,1728,,0,,,,
10018_25,,10018_25,10018,25,生命_1800,,生命,1800,,0,,,,
10018_26,,10018_26,10018,26,生命_1872,,生命,1872,,0,,,,
10018_27,,10018_27,10018,27,生命_1944,,生命,1944,,0,,,,
10018_28,,10018_28,10018,28,生命_2016,,生命,2016,,0,,,,
10018_29,,10018_29,10018,29,生命_2088,,生命,2088,,0,,,,
10018_30,,10018_30,10018,30,生命_2160,,生命,2160,,0,,,,
10018_31,,10018_31,10018,31,生命_2232,,生命,2232,,0,,,,
10018_32,,10018_32,10018,32,生命_2304,,生命,2304,,0,,,,
10018_33,,10018_33,10018,33,生命_2376,,生命,2376,,0,,,,
10018_34,,10018_34,10018,34,生命_2448,,生命,2448,,0,,,,
10018_35,,10018_35,10018,35,生命_2520,,生命,2520,,0,,,,
10018_36,,10018_36,10018,36,生命_2592,,生命,2592,,0,,,,
10018_37,,10018_37,10018,37,生命_2664,,生命,2664,,0,,,,
10018_38,,10018_38,10018,38,生命_2736,,生命,2736,,0,,,,
10018_39,,10018_39,10018,39,生命_2808,,生命,2808,,0,,,,
10018_40,,10018_40,10018,40,生命_2880,,生命,2880,,0,,,,
10018_41,,10018_41,10018,41,生命_2952,,生命,2952,,0,,,,
10018_42,,10018_42,10018,42,生命_3024,,生命,3024,,0,,,,
10018_43,,10018_43,10018,43,生命_3096,,生命,3096,,0,,,,
10018_44,,10018_44,10018,44,生命_3168,,生命,3168,,0,,,,
10018_45,,10018_45,10018,45,生命_3240,,生命,3240,,0,,,,
10018_46,,10018_46,10018,46,生命_3312,,生命,3312,,0,,,,
10018_47,,10018_47,10018,47,生命_3384,,生命,3384,,0,,,,
10018_48,,10018_48,10018,48,生命_3456,,生命,3456,,0,,,,
10018_49,,10018_49,10018,49,生命_3528,,生命,3528,,0,,,,
10018_50,,10018_50,10018,50,生命_3600,,生命,3600,,0,,,,
10018_51,,10018_51,10018,51,生命_3672,,生命,3672,,0,,,,
10018_52,,10018_52,10018,52,生命_3744,,生命,3744,,0,,,,
10018_53,,10018_53,10018,53,生命_3816,,生命,3816,,0,,,,
10018_54,,10018_54,10018,54,生命_3888,,生命,3888,,0,,,,
10018_55,,10018_55,10018,55,生命_3960,,生命,3960,,0,,,,
10018_56,,10018_56,10018,56,生命_4032,,生命,4032,,0,,,,
10018_57,,10018_57,10018,57,生命_4104,,生命,4104,,0,,,,
10018_58,,10018_58,10018,58,生命_4176,,生命,4176,,0,,,,
10018_59,,10018_59,10018,59,生命_4248,,生命,4248,,0,,,,
10018_60,,10018_60,10018,60,生命_4320,,生命,4320,,0,,,,
10018_61,,10018_61,10018,61,生命_4392,,生命,4392,,0,,,,
10018_62,,10018_62,10018,62,生命_4464,,生命,4464,,0,,,,
10018_63,,10018_63,10018,63,生命_4536,,生命,4536,,0,,,,
10018_64,,10018_64,10018,64,生命_4608,,生命,4608,,0,,,,
10018_65,,10018_65,10018,65,生命_4680,,生命,4680,,0,,,,
10018_66,,10018_66,10018,66,生命_4752,,生命,4752,,0,,,,
10018_67,,10018_67,10018,67,生命_4824,,生命,4824,,0,,,,
10018_68,,10018_68,10018,68,生命_4896,,生命,4896,,0,,,,
10018_69,,10018_69,10018,69,生命_4968,,生命,4968,,0,,,,
10018_70,,10018_70,10018,70,生命_5040,,生命,5040,,0,,,,
10018_71,,10018_71,10018,71,生命_5112,,生命,5112,,0,,,,
10018_72,,10018_72,10018,72,生命_5184,,生命,5184,,0,,,,
10018_73,,10018_73,10018,73,生命_5256,,生命,5256,,0,,,,
10018_74,,10018_74,10018,74,生命_5328,,生命,5328,,0,,,,
10018_75,,10018_75,10018,75,生命_5400,,生命,5400,,0,,,,
10018_76,,10018_76,10018,76,生命_5472,,生命,5472,,0,,,,
10018_77,,10018_77,10018,77,生命_5544,,生命,5544,,0,,,,
10018_78,,10018_78,10018,78,生命_5616,,生命,5616,,0,,,,
10018_79,,10018_79,10018,79,生命_5688,,生命,5688,,0,,,,
10018_80,,10018_80,10018,80,生命_5760,,生命,5760,,0,,,,
10018_81,,10018_81,10018,81,生命_5832,,生命,5832,,0,,,,
10018_82,,10018_82,10018,82,生命_5904,,生命,5904,,0,,,,
10018_83,,10018_83,10018,83,生命_5976,,生命,5976,,0,,,,
10018_84,,10018_84,10018,84,生命_6048,,生命,6048,,0,,,,
10018_85,,10018_85,10018,85,生命_6120,,生命,6120,,0,,,,
10018_86,,10018_86,10018,86,生命_6192,,生命,6192,,0,,,,
10018_87,,10018_87,10018,87,生命_6264,,生命,6264,,0,,,,
10018_88,,10018_88,10018,88,生命_6336,,生命,6336,,0,,,,
10018_89,,10018_89,10018,89,生命_6408,,生命,6408,,0,,,,
10018_90,,10018_90,10018,90,生命_6480,,生命,6480,,0,,,,
10019_1,,10019_1,10019,1,物理防御_4;生命_36,,物理防御,4,生命,36,,,,
10019_2,,10019_2,10019,2,物理防御_9;生命_72,,物理防御,9,生命,72,,,,
10019_3,,10019_3,10019,3,物理防御_14;生命_108,,物理防御,14,生命,108,,,,
10019_4,,10019_4,10019,4,物理防御_19;生命_144,,物理防御,19,生命,144,,,,
10019_5,,10019_5,10019,5,物理防御_24;生命_180,,物理防御,24,生命,180,,,,
10019_6,,10019_6,10019,6,物理防御_28;生命_216,,物理防御,28,生命,216,,,,
10019_7,,10019_7,10019,7,物理防御_33;生命_252,,物理防御,33,生命,252,,,,
10019_8,,10019_8,10019,8,物理防御_38;生命_288,,物理防御,38,生命,288,,,,
10019_9,,10019_9,10019,9,物理防御_43;生命_324,,物理防御,43,生命,324,,,,
10019_10,,10019_10,10019,10,物理防御_48;生命_360,,物理防御,48,生命,360,,,,
10019_11,,10019_11,10019,11,物理防御_52;生命_396,,物理防御,52,生命,396,,,,
10019_12,,10019_12,10019,12,物理防御_57;生命_432,,物理防御,57,生命,432,,,,
10019_13,,10019_13,10019,13,物理防御_62;生命_468,,物理防御,62,生命,468,,,,
10019_14,,10019_14,10019,14,物理防御_67;生命_504,,物理防御,67,生命,504,,,,
10019_15,,10019_15,10019,15,物理防御_72;生命_540,,物理防御,72,生命,540,,,,
10019_16,,10019_16,10019,16,物理防御_76;生命_576,,物理防御,76,生命,576,,,,
10019_17,,10019_17,10019,17,物理防御_81;生命_612,,物理防御,81,生命,612,,,,
10019_18,,10019_18,10019,18,物理防御_86;生命_648,,物理防御,86,生命,648,,,,
10019_19,,10019_19,10019,19,物理防御_91;生命_684,,物理防御,91,生命,684,,,,
10019_20,,10019_20,10019,20,物理防御_96;生命_720,,物理防御,96,生命,720,,,,
10019_21,,10019_21,10019,21,物理防御_100;生命_756,,物理防御,100,生命,756,,,,
10019_22,,10019_22,10019,22,物理防御_105;生命_792,,物理防御,105,生命,792,,,,
10019_23,,10019_23,10019,23,物理防御_110;生命_828,,物理防御,110,生命,828,,,,
10019_24,,10019_24,10019,24,物理防御_115;生命_864,,物理防御,115,生命,864,,,,
10019_25,,10019_25,10019,25,物理防御_120;生命_900,,物理防御,120,生命,900,,,,
10019_26,,10019_26,10019,26,物理防御_124;生命_936,,物理防御,124,生命,936,,,,
10019_27,,10019_27,10019,27,物理防御_129;生命_972,,物理防御,129,生命,972,,,,
10019_28,,10019_28,10019,28,物理防御_134;生命_1008,,物理防御,134,生命,1008,,,,
10019_29,,10019_29,10019,29,物理防御_139;生命_1044,,物理防御,139,生命,1044,,,,
10019_30,,10019_30,10019,30,物理防御_144;生命_1080,,物理防御,144,生命,1080,,,,
10019_31,,10019_31,10019,31,物理防御_148;生命_1116,,物理防御,148,生命,1116,,,,
10019_32,,10019_32,10019,32,物理防御_153;生命_1152,,物理防御,153,生命,1152,,,,
10019_33,,10019_33,10019,33,物理防御_158;生命_1188,,物理防御,158,生命,1188,,,,
10019_34,,10019_34,10019,34,物理防御_163;生命_1224,,物理防御,163,生命,1224,,,,
10019_35,,10019_35,10019,35,物理防御_168;生命_1260,,物理防御,168,生命,1260,,,,
10019_36,,10019_36,10019,36,物理防御_172;生命_1296,,物理防御,172,生命,1296,,,,
10019_37,,10019_37,10019,37,物理防御_177;生命_1332,,物理防御,177,生命,1332,,,,
10019_38,,10019_38,10019,38,物理防御_182;生命_1368,,物理防御,182,生命,1368,,,,
10019_39,,10019_39,10019,39,物理防御_187;生命_1404,,物理防御,187,生命,1404,,,,
10019_40,,10019_40,10019,40,物理防御_192;生命_1440,,物理防御,192,生命,1440,,,,
10019_41,,10019_41,10019,41,物理防御_196;生命_1476,,物理防御,196,生命,1476,,,,
10019_42,,10019_42,10019,42,物理防御_201;生命_1512,,物理防御,201,生命,1512,,,,
10019_43,,10019_43,10019,43,物理防御_206;生命_1548,,物理防御,206,生命,1548,,,,
10019_44,,10019_44,10019,44,物理防御_211;生命_1584,,物理防御,211,生命,1584,,,,
10019_45,,10019_45,10019,45,物理防御_216;生命_1620,,物理防御,216,生命,1620,,,,
10019_46,,10019_46,10019,46,物理防御_220;生命_1656,,物理防御,220,生命,1656,,,,
10019_47,,10019_47,10019,47,物理防御_225;生命_1692,,物理防御,225,生命,1692,,,,
10019_48,,10019_48,10019,48,物理防御_230;生命_1728,,物理防御,230,生命,1728,,,,
10019_49,,10019_49,10019,49,物理防御_235;生命_1764,,物理防御,235,生命,1764,,,,
10019_50,,10019_50,10019,50,物理防御_240;生命_1800,,物理防御,240,生命,1800,,,,
10019_51,,10019_51,10019,51,物理防御_244;生命_1836,,物理防御,244,生命,1836,,,,
10019_52,,10019_52,10019,52,物理防御_249;生命_1872,,物理防御,249,生命,1872,,,,
10019_53,,10019_53,10019,53,物理防御_254;生命_1908,,物理防御,254,生命,1908,,,,
10019_54,,10019_54,10019,54,物理防御_259;生命_1944,,物理防御,259,生命,1944,,,,
10019_55,,10019_55,10019,55,物理防御_264;生命_1980,,物理防御,264,生命,1980,,,,
10019_56,,10019_56,10019,56,物理防御_268;生命_2016,,物理防御,268,生命,2016,,,,
10019_57,,10019_57,10019,57,物理防御_273;生命_2052,,物理防御,273,生命,2052,,,,
10019_58,,10019_58,10019,58,物理防御_278;生命_2088,,物理防御,278,生命,2088,,,,
10019_59,,10019_59,10019,59,物理防御_283;生命_2124,,物理防御,283,生命,2124,,,,
