key,remarks,id,planId,star,upCostType,upCount,itemsNeedStr,downCostType,downCount,attrData,precentAttrData,wf1,wf2,wf3,wf4,wf5,wf6,wf7,wf8,wf9
540,,540,10090,5,,,,1,120,生命_2880,,90,生命,2880,,0,,,,
541,,541,10091,,,,806553:1,1,30,,,40,,0,,0,,,,
542,,542,10091,1,,,806553:3,1,60,物理防御_55;生命_240,,50,物理防御,55,生命,240,,,,
543,,543,10091,2,,,806553:6,1,90,物理防御_110;生命_480,,60,物理防御,110,生命,480,,,,
544,,544,10091,3,,,806553:9,1,120,物理防御_184;生命_800,,70,物理防御,184,生命,800,,,,
545,,545,10091,4,,,806553:12,1,120,物理防御_257;生命_1120,,80,物理防御,257,生命,1120,,,,
546,,546,10091,5,,,,1,120,物理防御_331;生命_1440,,90,物理防御,331,生命,1440,,,,
547,,547,10092,,,,806553:1,1,30,,,40,,0,,0,,,,
548,,548,10092,1,,,806553:3,1,60,法术防御_69;生命_240,,50,法术防御,69,生命,240,,,,
549,,549,10092,2,,,806553:6,1,90,法术防御_138;生命_480,,60,法术防御,138,生命,480,,,,
550,,550,10092,3,,,806553:9,1,120,法术防御_230;生命_800,,70,法术防御,230,生命,800,,,,
551,,551,10092,4,,,806553:12,1,120,法术防御_322;生命_1120,,80,法术防御,322,生命,1120,,,,
552,,552,10092,5,,,,1,120,法术防御_414;生命_1440,,90,法术防御,414,生命,1440,,,,
553,,553,10093,,,,806553:1,1,30,,,40,,0,,0,,,,
554,,554,10093,1,,,806553:3,1,60,物理攻击_261;法术攻击_187,,50,物理攻击,261,法术攻击,187,,,,
555,,555,10093,2,,,806553:6,1,90,物理攻击_522;法术攻击_374,,60,物理攻击,522,法术攻击,374,,,,
556,,556,10093,3,,,806553:9,1,120,物理攻击_870;法术攻击_624,,70,物理攻击,870,法术攻击,624,,,,
557,,557,10093,4,,,806553:12,1,120,物理攻击_1218;法术攻击_873,,80,物理攻击,1218,法术攻击,873,,,,
558,,558,10093,5,,,,1,120,物理攻击_1566;法术攻击_1123,,90,物理攻击,1566,法术攻击,1123,,,,
559,,559,10094,,,,806553:1,1,30,,,40,,0,,0,,,,
560,,560,10094,1,,,806553:3,1,60,生命_495,,50,生命,495,,0,,,,
561,,561,10094,2,,,806553:6,1,90,生命_990,,60,生命,990,,0,,,,
562,,562,10094,3,,,806553:9,1,120,生命_1650,,70,生命,1650,,0,,,,
563,,563,10094,4,,,806553:12,1,120,生命_2310,,80,生命,2310,,0,,,,
564,,564,10094,5,,,,1,120,生命_2970,,90,生命,2970,,0,,,,
565,,565,10095,,,,806553:1,1,30,,,40,,0,,0,,,,
566,,566,10095,1,,,806553:3,1,60,物理防御_57;生命_247,,50,物理防御,57,生命,247,,,,
567,,567,10095,2,,,806553:6,1,90,物理防御_115;生命_495,,60,物理防御,115,生命,495,,,,
568,,568,10095,3,,,806553:9,1,120,物理防御_192;生命_825,,70,物理防御,192,生命,825,,,,
569,,569,10095,4,,,806553:12,1,120,物理防御_268;生命_1155,,80,物理防御,268,生命,1155,,,,
570,,570,10095,5,,,,1,120,物理防御_345;生命_1485,,90,物理防御,345,生命,1485,,,,
571,,571,10096,,,,806553:1,1,30,,,40,,0,,0,,,,
572,,572,10096,1,,,806553:3,1,60,法术防御_72;生命_247,,50,法术防御,72,生命,247,,,,
573,,573,10096,2,,,806553:6,1,90,法术防御_144;生命_495,,60,法术防御,144,生命,495,,,,
574,,574,10096,3,,,806553:9,1,120,法术防御_240;生命_825,,70,法术防御,240,生命,825,,,,
575,,575,10096,4,,,806553:12,1,120,法术防御_336;生命_1155,,80,法术防御,336,生命,1155,,,,
576,,576,10096,5,,,,1,120,法术防御_432;生命_1485,,90,法术防御,432,生命,1485,,,,
577,,577,10097,,,,806553:1,1,30,,,40,,0,,0,,,,
578,,578,10097,1,,,806553:3,1,60,物理攻击_252;法术攻击_180,,50,物理攻击,252,法术攻击,180,,,,
579,,579,10097,2,,,806553:6,1,90,物理攻击_504;法术攻击_360,,60,物理攻击,504,法术攻击,360,,,,
580,,580,10097,3,,,806553:9,1,120,物理攻击_840;法术攻击_600,,70,物理攻击,840,法术攻击,600,,,,
581,,581,10097,4,,,806553:12,1,120,物理攻击_1176;法术攻击_840,,80,物理攻击,1176,法术攻击,840,,,,
582,,582,10097,5,,,,1,120,物理攻击_1512;法术攻击_1080,,90,物理攻击,1512,法术攻击,1080,,,,
583,,583,10098,,,,806553:1,1,30,,,40,,0,,0,,,,
584,,584,10098,1,,,806553:3,1,60,生命_510,,50,生命,510,,0,,,,
585,,585,10098,2,,,806553:6,1,90,生命_1020,,60,生命,1020,,0,,,,
586,,586,10098,3,,,806553:9,1,120,生命_1700,,70,生命,1700,,0,,,,
587,,587,10098,4,,,806553:12,1,120,生命_2380,,80,生命,2380,,0,,,,
588,,588,10098,5,,,,1,120,生命_3060,,90,生命,3060,,0,,,,
589,,589,10099,,,,806553:1,1,30,,,40,,0,,0,,,,
590,,590,10099,1,,,806553:3,1,60,物理防御_60;生命_255,,50,物理防御,60,生命,255,,,,
591,,591,10099,2,,,806553:6,1,90,物理防御_120;生命_510,,60,物理防御,120,生命,510,,,,
592,,592,10099,3,,,806553:9,1,120,物理防御_200;生命_850,,70,物理防御,200,生命,850,,,,
593,,593,10099,4,,,806553:12,1,120,物理防御_280;生命_1190,,80,物理防御,280,生命,1190,,,,
594,,594,10099,5,,,,1,120,物理防御_360;生命_1530,,90,物理防御,360,生命,1530,,,,
595,,595,10100,,,,806553:1,1,30,,,40,,0,,0,,,,
596,,596,10100,1,,,806553:3,1,60,法术防御_75;生命_255,,50,法术防御,75,生命,255,,,,
597,,597,10100,2,,,806553:6,1,90,法术防御_150;生命_510,,60,法术防御,150,生命,510,,,,
598,,598,10100,3,,,806553:9,1,120,法术防御_250;生命_850,,70,法术防御,250,生命,850,,,,
599,,599,10100,4,,,806553:12,1,120,法术防御_350;生命_1190,,80,法术防御,350,生命,1190,,,,
600,,600,10100,5,,,,1,120,法术防御_450;生命_1530,,90,法术防御,450,生命,1530,,,,
601,,601,10101,,,,806553:1,1,30,,,40,,0,,0,,,,
602,,602,10101,1,,,806553:3,1,60,物理攻击_247;法术攻击_198,,50,物理攻击,247,法术攻击,198,,,,
603,,603,10101,2,,,806553:6,1,90,物理攻击_495;法术攻击_396,,60,物理攻击,495,法术攻击,396,,,,
604,,604,10101,3,,,806553:9,1,120,物理攻击_825;法术攻击_660,,70,物理攻击,825,法术攻击,660,,,,
605,,605,10101,4,,,806553:12,1,120,物理攻击_1155;法术攻击_924,,80,物理攻击,1155,法术攻击,924,,,,
606,,606,10101,5,,,,1,120,物理攻击_1485;法术攻击_1188,,90,物理攻击,1485,法术攻击,1188,,,,
607,,607,10102,,,,806553:1,1,30,,,40,,0,,0,,,,
608,,608,10102,1,,,806553:3,1,60,生命_397,,50,生命,397,,0,,,,
609,,609,10102,2,,,806553:6,1,90,生命_795,,60,生命,795,,0,,,,
610,,610,10102,3,,,806553:9,1,120,生命_1325,,70,生命,1325,,0,,,,
611,,611,10102,4,,,806553:12,1,120,生命_1855,,80,生命,1855,,0,,,,
612,,612,10102,5,,,,1,120,生命_2385,,90,生命,2385,,0,,,,
613,,613,10103,,,,806553:1,1,30,,,40,,0,,0,,,,
614,,614,10103,1,,,806553:3,1,60,物理防御_67;生命_198,,50,物理防御,67,生命,198,,,,
615,,615,10103,2,,,806553:6,1,90,物理防御_135;生命_397,,60,物理防御,135,生命,397,,,,
616,,616,10103,3,,,806553:9,1,120,物理防御_225;生命_662,,70,物理防御,225,生命,662,,,,
617,,617,10103,4,,,806553:12,1,120,物理防御_315;生命_927,,80,物理防御,315,生命,927,,,,
618,,618,10103,5,,,,1,120,物理防御_405;生命_1192,,90,物理防御,405,生命,1192,,,,
619,,619,10104,,,,806553:1,1,30,,,40,,0,,0,,,,
620,,620,10104,1,,,806553:3,1,60,法术防御_54;生命_198,,50,法术防御,54,生命,198,,,,
621,,621,10104,2,,,806553:6,1,90,法术防御_108;生命_397,,60,法术防御,108,生命,397,,,,
622,,622,10104,3,,,806553:9,1,120,法术防御_180;生命_662,,70,法术防御,180,生命,662,,,,
623,,623,10104,4,,,806553:12,1,120,法术防御_252;生命_927,,80,法术防御,252,生命,927,,,,
624,,624,10104,5,,,,1,120,法术防御_324;生命_1192,,90,法术防御,324,生命,1192,,,,
625,,625,10105,,,,806553:1,1,30,,,40,,0,,0,,,,
626,,626,10105,1,,,806553:3,1,60,物理攻击_238;法术攻击_190,,50,物理攻击,238,法术攻击,190,,,,
627,,627,10105,2,,,806553:6,1,90,物理攻击_477;法术攻击_381,,60,物理攻击,477,法术攻击,381,,,,
628,,628,10105,3,,,806553:9,1,120,物理攻击_795;法术攻击_636,,70,物理攻击,795,法术攻击,636,,,,
629,,629,10105,4,,,806553:12,1,120,物理攻击_1113;法术攻击_890,,80,物理攻击,1113,法术攻击,890,,,,
630,,630,10105,5,,,,1,120,物理攻击_1431;法术攻击_1144,,90,物理攻击,1431,法术攻击,1144,,,,
631,,631,10106,,,,806553:1,1,30,,,40,,0,,0,,,,
632,,632,10106,1,,,806553:3,1,60,生命_412,,50,生命,412,,0,,,,
633,,633,10106,2,,,806553:6,1,90,生命_825,,60,生命,825,,0,,,,
634,,634,10106,3,,,806553:9,1,120,生命_1375,,70,生命,1375,,0,,,,
635,,635,10106,4,,,806553:12,1,120,生命_1925,,80,生命,1925,,0,,,,
636,,636,10106,5,,,,1,120,生命_2475,,90,生命,2475,,0,,,,
637,,637,10107,,,,806553:1,1,30,,,40,,0,,0,,,,
638,,638,10107,1,,,806553:3,1,60,物理防御_70;生命_206,,50,物理防御,70,生命,206,,,,
639,,639,10107,2,,,806553:6,1,90,物理防御_141;生命_412,,60,物理防御,141,生命,412,,,,
640,,640,10107,3,,,806553:9,1,120,物理防御_235;生命_687,,70,物理防御,235,生命,687,,,,
641,,641,10107,4,,,806553:12,1,120,物理防御_329;生命_962,,80,物理防御,329,生命,962,,,,
642,,642,10107,5,,,,1,120,物理防御_423;生命_1237,,90,物理防御,423,生命,1237,,,,
643,,643,10108,,,,806553:1,1,30,,,40,,0,,0,,,,
644,,644,10108,1,,,806553:3,1,60,法术防御_56;生命_206,,50,法术防御,56,生命,206,,,,
645,,645,10108,2,,,806553:6,1,90,法术防御_112;生命_412,,60,法术防御,112,生命,412,,,,
646,,646,10108,3,,,806553:9,1,120,法术防御_188;生命_687,,70,法术防御,188,生命,687,,,,
647,,647,10108,4,,,806553:12,1,120,法术防御_263;生命_962,,80,法术防御,263,生命,962,,,,
648,,648,10108,5,,,,1,120,法术防御_338;生命_1237,,90,法术防御,338,生命,1237,,,,
649,,649,10109,,,,806553:1,1,30,,,40,,0,,0,,,,
650,,650,10109,1,,,806553:3,1,60,物理攻击_229;法术攻击_183,,50,物理攻击,229,法术攻击,183,,,,
651,,651,10109,2,,,806553:6,1,90,物理攻击_459;法术攻击_367,,60,物理攻击,459,法术攻击,367,,,,
652,,652,10109,3,,,806553:9,1,120,物理攻击_765;法术攻击_612,,70,物理攻击,765,法术攻击,612,,,,
653,,653,10109,4,,,806553:12,1,120,物理攻击_1071;法术攻击_856,,80,物理攻击,1071,法术攻击,856,,,,
654,,654,10109,5,,,,1,120,物理攻击_1377;法术攻击_1101,,90,物理攻击,1377,法术攻击,1101,,,,
655,,655,10110,,,,806553:1,1,30,,,40,,0,,0,,,,
656,,656,10110,1,,,806553:3,1,60,生命_427,,50,生命,427,,0,,,,
657,,657,10110,2,,,806553:6,1,90,生命_855,,60,生命,855,,0,,,,
658,,658,10110,3,,,806553:9,1,120,生命_1425,,70,生命,1425,,0,,,,
659,,659,10110,4,,,806553:12,1,120,生命_1995,,80,生命,1995,,0,,,,
660,,660,10110,5,,,,1,120,生命_2565,,90,生命,2565,,0,,,,
661,,661,10111,,,,806553:1,1,30,,,40,,0,,0,,,,
662,,662,10111,1,,,806553:3,1,60,物理防御_73;生命_213,,50,物理防御,73,生命,213,,,,
663,,663,10111,2,,,806553:6,1,90,物理防御_147;生命_427,,60,物理防御,147,生命,427,,,,
664,,664,10111,3,,,806553:9,1,120,物理防御_245;生命_712,,70,物理防御,245,生命,712,,,,
665,,665,10111,4,,,806553:12,1,120,物理防御_343;生命_997,,80,物理防御,343,生命,997,,,,
666,,666,10111,5,,,,1,120,物理防御_441;生命_1282,,90,物理防御,441,生命,1282,,,,
667,,667,10112,,,,806553:1,1,30,,,40,,0,,0,,,,
668,,668,10112,1,,,806553:3,1,60,法术防御_58;生命_213,,50,法术防御,58,生命,213,,,,
669,,669,10112,2,,,806553:6,1,90,法术防御_117;生命_427,,60,法术防御,117,生命,427,,,,
670,,670,10112,3,,,806553:9,1,120,法术防御_196;生命_712,,70,法术防御,196,生命,712,,,,
671,,671,10112,4,,,806553:12,1,120,法术防御_274;生命_997,,80,法术防御,274,生命,997,,,,
672,,672,10112,5,,,,1,120,法术防御_352;生命_1282,,90,法术防御,352,生命,1282,,,,
673,,673,10113,,,,806553:1,1,30,,,40,,0,,0,,,,
674,,674,10113,1,,,806553:3,1,60,物理攻击_247;法术攻击_198,,50,物理攻击,247,法术攻击,198,,,,
675,,675,10113,2,,,806553:6,1,90,物理攻击_495;法术攻击_396,,60,物理攻击,495,法术攻击,396,,,,
676,,676,10113,3,,,806553:9,1,120,物理攻击_825;法术攻击_660,,70,物理攻击,825,法术攻击,660,,,,
677,,677,10113,4,,,806553:12,1,120,物理攻击_1155;法术攻击_924,,80,物理攻击,1155,法术攻击,924,,,,
678,,678,10113,5,,,,1,120,物理攻击_1485;法术攻击_1188,,90,物理攻击,1485,法术攻击,1188,,,,
679,,679,10114,,,,806553:1,1,30,,,40,,0,,0,,,,
680,,680,10114,1,,,806553:3,1,60,生命_397,,50,生命,397,,0,,,,
681,,681,10114,2,,,806553:6,1,90,生命_795,,60,生命,795,,0,,,,
682,,682,10114,3,,,806553:9,1,120,生命_1325,,70,生命,1325,,0,,,,
683,,683,10114,4,,,806553:12,1,120,生命_1855,,80,生命,1855,,0,,,,
684,,684,10114,5,,,,1,120,生命_2385,,90,生命,2385,,0,,,,
685,,685,10115,,,,806553:1,1,30,,,40,,0,,0,,,,
686,,686,10115,1,,,806553:3,1,60,物理防御_54;生命_198,,50,物理防御,54,生命,198,,,,
687,,687,10115,2,,,806553:6,1,90,物理防御_108;生命_397,,60,物理防御,108,生命,397,,,,
688,,688,10115,3,,,806553:9,1,120,物理防御_180;生命_662,,70,物理防御,180,生命,662,,,,
689,,689,10115,4,,,806553:12,1,120,物理防御_252;生命_927,,80,物理防御,252,生命,927,,,,
690,,690,10115,5,,,,1,120,物理防御_324;生命_1192,,90,物理防御,324,生命,1192,,,,
691,,691,10116,,,,806553:1,1,30,,,40,,0,,0,,,,
692,,692,10116,1,,,806553:3,1,60,法术防御_67;生命_198,,50,法术防御,67,生命,198,,,,
693,,693,10116,2,,,806553:6,1,90,法术防御_135;生命_397,,60,法术防御,135,生命,397,,,,
694,,694,10116,3,,,806553:9,1,120,法术防御_225;生命_662,,70,法术防御,225,生命,662,,,,
695,,695,10116,4,,,806553:12,1,120,法术防御_315;生命_927,,80,法术防御,315,生命,927,,,,
696,,696,10116,5,,,,1,120,法术防御_405;生命_1192,,90,法术防御,405,生命,1192,,,,
697,,697,10117,,,,806553:1,1,30,,,40,,0,,0,,,,
698,,698,10117,1,,,806553:3,1,60,物理攻击_238;法术攻击_190,,50,物理攻击,238,法术攻击,190,,,,
699,,699,10117,2,,,806553:6,1,90,物理攻击_477;法术攻击_381,,60,物理攻击,477,法术攻击,381,,,,
700,,700,10117,3,,,806553:9,1,120,物理攻击_795;法术攻击_636,,70,物理攻击,795,法术攻击,636,,,,
701,,701,10117,4,,,806553:12,1,120,物理攻击_1113;法术攻击_890,,80,物理攻击,1113,法术攻击,890,,,,
702,,702,10117,5,,,,1,120,物理攻击_1431;法术攻击_1144,,90,物理攻击,1431,法术攻击,1144,,,,
703,,703,10118,,,,806553:1,1,30,,,40,,0,,0,,,,
704,,704,10118,1,,,806553:3,1,60,生命_412,,50,生命,412,,0,,,,
705,,705,10118,2,,,806553:6,1,90,生命_825,,60,生命,825,,0,,,,
706,,706,10118,3,,,806553:9,1,120,生命_1375,,70,生命,1375,,0,,,,
707,,707,10118,4,,,806553:12,1,120,生命_1925,,80,生命,1925,,0,,,,
708,,708,10118,5,,,,1,120,生命_2475,,90,生命,2475,,0,,,,
709,,709,10119,,,,806553:1,1,30,,,40,,0,,0,,,,
710,,710,10119,1,,,806553:3,1,60,物理防御_56;生命_206,,50,物理防御,56,生命,206,,,,
711,,711,10119,2,,,806553:6,1,90,物理防御_112;生命_412,,60,物理防御,112,生命,412,,,,
712,,712,10119,3,,,806553:9,1,120,物理防御_188;生命_687,,70,物理防御,188,生命,687,,,,
713,,713,10119,4,,,806553:12,1,120,物理防御_263;生命_962,,80,物理防御,263,生命,962,,,,
714,,714,10119,5,,,,1,120,物理防御_338;生命_1237,,90,物理防御,338,生命,1237,,,,
715,,715,10120,,,,806553:1,1,30,,,40,,0,,0,,,,
716,,716,10120,1,,,806553:3,1,60,法术防御_70;生命_206,,50,法术防御,70,生命,206,,,,
717,,717,10120,2,,,806553:6,1,90,法术防御_141;生命_412,,60,法术防御,141,生命,412,,,,
718,,718,10120,3,,,806553:9,1,120,法术防御_235;生命_687,,70,法术防御,235,生命,687,,,,
719,,719,10120,4,,,806553:12,1,120,法术防御_329;生命_962,,80,法术防御,329,生命,962,,,,
720,,720,10120,5,,,,1,120,法术防御_423;生命_1237,,90,法术防御,423,生命,1237,,,,
721,,721,10121,,,,806553:1,1,30,,,40,,0,,0,,,,
722,,722,10121,1,,,806553:3,1,60,物理攻击_229;法术攻击_183,,50,物理攻击,229,法术攻击,183,,,,
723,,723,10121,2,,,806553:6,1,90,物理攻击_459;法术攻击_367,,60,物理攻击,459,法术攻击,367,,,,
724,,724,10121,3,,,806553:9,1,120,物理攻击_765;法术攻击_612,,70,物理攻击,765,法术攻击,612,,,,
725,,725,10121,4,,,806553:12,1,120,物理攻击_1071;法术攻击_856,,80,物理攻击,1071,法术攻击,856,,,,
726,,726,10121,5,,,,1,120,物理攻击_1377;法术攻击_1101,,90,物理攻击,1377,法术攻击,1101,,,,
727,,727,10122,,,,806553:1,1,30,,,40,,0,,0,,,,
728,,728,10122,1,,,806553:3,1,60,生命_427,,50,生命,427,,0,,,,
729,,729,10122,2,,,806553:6,1,90,生命_855,,60,生命,855,,0,,,,
730,,730,10122,3,,,806553:9,1,120,生命_1425,,70,生命,1425,,0,,,,
731,,731,10122,4,,,806553:12,1,120,生命_1995,,80,生命,1995,,0,,,,
732,,732,10122,5,,,,1,120,生命_2565,,90,生命,2565,,0,,,,
733,,733,10123,,,,806553:1,1,30,,,40,,0,,0,,,,
734,,734,10123,1,,,806553:3,1,60,物理防御_58;生命_213,,50,物理防御,58,生命,213,,,,
735,,735,10123,2,,,806553:6,1,90,物理防御_117;生命_427,,60,物理防御,117,生命,427,,,,
736,,736,10123,3,,,806553:9,1,120,物理防御_196;生命_712,,70,物理防御,196,生命,712,,,,
737,,737,10123,4,,,806553:12,1,120,物理防御_274;生命_997,,80,物理防御,274,生命,997,,,,
738,,738,10123,5,,,,1,120,物理防御_352;生命_1282,,90,物理防御,352,生命,1282,,,,
739,,739,10124,,,,806553:1,1,30,,,40,,0,,0,,,,
740,,740,10124,1,,,806553:3,1,60,法术防御_73;生命_213,,50,法术防御,73,生命,213,,,,
741,,741,10124,2,,,806553:6,1,90,法术防御_147;生命_427,,60,法术防御,147,生命,427,,,,
742,,742,10124,3,,,806553:9,1,120,法术防御_245;生命_712,,70,法术防御,245,生命,712,,,,
743,,743,10124,4,,,806553:12,1,120,法术防御_343;生命_997,,80,法术防御,343,生命,997,,,,
744,,744,10124,5,,,,1,120,法术防御_441;生命_1282,,90,法术防御,441,生命,1282,,,,
745,,745,10125,,,,806553:1,1,30,,,40,,0,,0,,,,
746,,746,10125,1,,,806553:3,1,60,物理攻击_220;法术攻击_176,,50,物理攻击,220,法术攻击,176,,,,
747,,747,10125,2,,,806553:6,1,90,物理攻击_441;法术攻击_352,,60,物理攻击,441,法术攻击,352,,,,
748,,748,10125,3,,,806553:9,1,120,物理攻击_735;法术攻击_588,,70,物理攻击,735,法术攻击,588,,,,
749,,749,10125,4,,,806553:12,1,120,物理攻击_1029;法术攻击_823,,80,物理攻击,1029,法术攻击,823,,,,
750,,750,10125,5,,,,1,120,物理攻击_1323;法术攻击_1058,,90,物理攻击,1323,法术攻击,1058,,,,
751,,751,10126,,,,806553:1,1,30,,,40,,0,,0,,,,
752,,752,10126,1,,,806553:3,1,60,生命_480,,50,生命,480,,0,,,,
753,,753,10126,2,,,806553:6,1,90,生命_960,,60,生命,960,,0,,,,
754,,754,10126,3,,,806553:9,1,120,生命_1600,,70,生命,1600,,0,,,,
755,,755,10126,4,,,806553:12,1,120,生命_2240,,80,生命,2240,,0,,,,
756,,756,10126,5,,,,1,120,生命_2880,,90,生命,2880,,0,,,,
757,,757,10127,,,,806553:1,1,30,,,40,,0,,0,,,,
758,,758,10127,1,,,806553:3,1,60,物理防御_76;生命_240,,50,物理防御,76,生命,240,,,,
759,,759,10127,2,,,806553:6,1,90,物理防御_153;生命_480,,60,物理防御,153,生命,480,,,,
760,,760,10127,3,,,806553:9,1,120,物理防御_255;生命_800,,70,物理防御,255,生命,800,,,,
761,,761,10127,4,,,806553:12,1,120,物理防御_357;生命_1120,,80,物理防御,357,生命,1120,,,,
762,,762,10127,5,,,,1,120,物理防御_459;生命_1440,,90,物理防御,459,生命,1440,,,,
763,,763,10128,,,,806553:1,1,30,,,40,,0,,0,,,,
764,,764,10128,1,,,806553:3,1,60,法术防御_61;生命_240,,50,法术防御,61,生命,240,,,,
765,,765,10128,2,,,806553:6,1,90,法术防御_122;生命_480,,60,法术防御,122,生命,480,,,,
766,,766,10128,3,,,806553:9,1,120,法术防御_204;生命_800,,70,法术防御,204,生命,800,,,,
767,,767,10128,4,,,806553:12,1,120,法术防御_285;生命_1120,,80,法术防御,285,生命,1120,,,,
768,,768,10128,5,,,,1,120,法术防御_367;生命_1440,,90,法术防御,367,生命,1440,,,,
769,,769,10129,,,,806553:1,1,30,,,40,,0,,0,,,,
770,,770,10129,1,,,806553:3,1,60,物理攻击_211;法术攻击_169,,50,物理攻击,211,法术攻击,169,,,,
771,,771,10129,2,,,806553:6,1,90,物理攻击_423;法术攻击_338,,60,物理攻击,423,法术攻击,338,,,,
772,,772,10129,3,,,806553:9,1,120,物理攻击_705;法术攻击_564,,70,物理攻击,705,法术攻击,564,,,,
773,,773,10129,4,,,806553:12,1,120,物理攻击_987;法术攻击_789,,80,物理攻击,987,法术攻击,789,,,,
774,,774,10129,5,,,,1,120,物理攻击_1269;法术攻击_1015,,90,物理攻击,1269,法术攻击,1015,,,,
775,,775,10130,,,,806553:1,1,30,,,40,,0,,0,,,,
776,,776,10130,1,,,806553:3,1,60,生命_495,,50,生命,495,,0,,,,
777,,777,10130,2,,,806553:6,1,90,生命_990,,60,生命,990,,0,,,,
778,,778,10130,3,,,806553:9,1,120,生命_1650,,70,生命,1650,,0,,,,
779,,779,10130,4,,,806553:12,1,120,生命_2310,,80,生命,2310,,0,,,,
780,,780,10130,5,,,,1,120,生命_2970,,90,生命,2970,,0,,,,
781,,781,10131,,,,806553:1,1,30,,,40,,0,,0,,,,
782,,782,10131,1,,,806553:3,1,60,物理防御_79;生命_247,,50,物理防御,79,生命,247,,,,
783,,783,10131,2,,,806553:6,1,90,物理防御_159;生命_495,,60,物理防御,159,生命,495,,,,
784,,784,10131,3,,,806553:9,1,120,物理防御_265;生命_825,,70,物理防御,265,生命,825,,,,
785,,785,10131,4,,,806553:12,1,120,物理防御_371;生命_1155,,80,物理防御,371,生命,1155,,,,
786,,786,10131,5,,,,1,120,物理防御_477;生命_1485,,90,物理防御,477,生命,1485,,,,
787,,787,10132,,,,806553:1,1,30,,,40,,0,,0,,,,
788,,788,10132,1,,,806553:3,1,60,法术防御_63;生命_247,,50,法术防御,63,生命,247,,,,
789,,789,10132,2,,,806553:6,1,90,法术防御_127;生命_495,,60,法术防御,127,生命,495,,,,
790,,790,10132,3,,,806553:9,1,120,法术防御_212;生命_825,,70,法术防御,212,生命,825,,,,
791,,791,10132,4,,,806553:12,1,120,法术防御_296;生命_1155,,80,法术防御,296,生命,1155,,,,
792,,792,10132,5,,,,1,120,法术防御_381;生命_1485,,90,法术防御,381,生命,1485,,,,
793,,793,10133,,,,806553:1,1,30,,,40,,0,,0,,,,
794,,794,10133,1,,,806553:3,1,60,物理攻击_202;法术攻击_162,,50,物理攻击,202,法术攻击,162,,,,
795,,795,10133,2,,,806553:6,1,90,物理攻击_405;法术攻击_324,,60,物理攻击,405,法术攻击,324,,,,
796,,796,10133,3,,,806553:9,1,120,物理攻击_675;法术攻击_540,,70,物理攻击,675,法术攻击,540,,,,
797,,797,10133,4,,,806553:12,1,120,物理攻击_945;法术攻击_756,,80,物理攻击,945,法术攻击,756,,,,
798,,798,10133,5,,,,1,120,物理攻击_1215;法术攻击_972,,90,物理攻击,1215,法术攻击,972,,,,
799,,799,10134,,,,806553:1,1,30,,,40,,0,,0,,,,
800,,800,10134,1,,,806553:3,1,60,生命_517,,50,生命,517,,0,,,,
801,,801,10134,2,,,806553:6,1,90,生命_1035,,60,生命,1035,,0,,,,
802,,802,10134,3,,,806553:9,1,120,生命_1725,,70,生命,1725,,0,,,,
803,,803,10134,4,,,806553:12,1,120,生命_2415,,80,生命,2415,,0,,,,
804,,804,10134,5,,,,1,120,生命_3105,,90,生命,3105,,0,,,,
805,,805,10135,,,,806553:1,1,30,,,40,,0,,0,,,,
806,,806,10135,1,,,806553:3,1,60,物理防御_82;生命_258,,50,物理防御,82,生命,258,,,,
807,,807,10135,2,,,806553:6,1,90,物理防御_165;生命_517,,60,物理防御,165,生命,517,,,,
808,,808,10135,3,,,806553:9,1,120,物理防御_275;生命_862,,70,物理防御,275,生命,862,,,,
809,,809,10135,4,,,806553:12,1,120,物理防御_385;生命_1207,,80,物理防御,385,生命,1207,,,,
810,,810,10135,5,,,,1,120,物理防御_495;生命_1552,,90,物理防御,495,生命,1552,,,,
811,,811,10136,,,,806553:1,1,30,,,40,,0,,0,,,,
812,,812,10136,1,,,806553:3,1,60,法术防御_66;生命_258,,50,法术防御,66,生命,258,,,,
813,,813,10136,2,,,806553:6,1,90,法术防御_132;生命_517,,60,法术防御,132,生命,517,,,,
814,,814,10136,3,,,806553:9,1,120,法术防御_220;生命_862,,70,法术防御,220,生命,862,,,,
815,,815,10136,4,,,806553:12,1,120,法术防御_308;生命_1207,,80,法术防御,308,生命,1207,,,,
816,,816,10136,5,,,,1,120,法术防御_396;生命_1552,,90,法术防御,396,生命,1552,,,,
817,,817,10137,,,,806553:1,1,30,,,40,,0,,0,,,,
818,,818,10137,1,,,806553:3,1,60,物理攻击_220;法术攻击_176,,50,物理攻击,220,法术攻击,176,,,,
819,,819,10137,2,,,806553:6,1,90,物理攻击_441;法术攻击_352,,60,物理攻击,441,法术攻击,352,,,,
820,,820,10137,3,,,806553:9,1,120,物理攻击_735;法术攻击_588,,70,物理攻击,735,法术攻击,588,,,,
821,,821,10137,4,,,806553:12,1,120,物理攻击_1029;法术攻击_823,,80,物理攻击,1029,法术攻击,823,,,,
822,,822,10137,5,,,,1,120,物理攻击_1323;法术攻击_1058,,90,物理攻击,1323,法术攻击,1058,,,,
823,,823,10138,,,,806553:1,1,30,,,40,,0,,0,,,,
824,,824,10138,1,,,806553:3,1,60,生命_480,,50,生命,480,,0,,,,
825,,825,10138,2,,,806553:6,1,90,生命_960,,60,生命,960,,0,,,,
826,,826,10138,3,,,806553:9,1,120,生命_1600,,70,生命,1600,,0,,,,
