key,remarks,id,planId,star,upCostType,upCount,itemsNeedStr,downCostType,downCount,attrData,precentAttrData,fk
366,,366,203007,5,,,,1,120,物理攻击_2250;法术攻击_2250,,40
367,,367,203008,,,,"806585:1,806553:1",1,30,,,40
368,,368,203008,1,,,"806585:1,806553:3",1,60,物理攻击_450;法术攻击_450,,40
369,,369,203008,2,,,"806585:1,806553:6",1,90,物理攻击_900;法术攻击_900,,40
370,,370,203008,3,,,"806585:1,806553:9",1,120,物理攻击_1350;法术攻击_1350,,40
371,,371,203008,4,,,"806585:1,806553:12",1,120,物理攻击_1800;法术攻击_1800,,40
372,,372,203008,5,,,,1,120,物理攻击_2250;法术攻击_2250,,40
373,,373,100005,,,,"806586:1,806553:1",1,30,,,40
374,,374,100005,1,,,"806586:1,806553:3",1,60,物理攻击_324;法术攻击_324,,40
375,,375,100005,2,,,"806586:1,806553:6",1,90,物理攻击_648;法术攻击_648,,40
376,,376,100005,3,,,"806586:1,806553:9",1,120,物理攻击_972;法术攻击_972,,40
377,,377,100005,4,,,"806586:1,806553:12",1,120,物理攻击_1296;法术攻击_1296,,40
378,,378,100005,5,,,,1,120,物理攻击_1620;法术攻击_1620,,40
379,,379,101002,,,,"806586:1,806553:1",1,30,,,40
380,,380,101002,1,,,"806586:1,806553:3",1,60,物理攻击_324;法术攻击_324,,40
381,,381,101002,2,,,"806586:1,806553:6",1,90,物理攻击_648;法术攻击_648,,40
382,,382,101002,3,,,"806586:1,806553:9",1,120,物理攻击_972;法术攻击_972,,40
383,,383,101002,4,,,"806586:1,806553:12",1,120,物理攻击_1296;法术攻击_1296,,40
384,,384,101002,5,,,,1,120,物理攻击_1620;法术攻击_1620,,40
385,,385,100002,,,,"806586:1,806553:1",1,30,,,40
386,,386,100002,1,,,"806586:1,806553:3",1,60,物理攻击_396;法术攻击_396,,40
387,,387,100002,2,,,"806586:1,806553:6",1,90,物理攻击_792;法术攻击_792,,40
388,,388,100002,3,,,"806586:1,806553:9",1,120,物理攻击_1188;法术攻击_1188,,40
389,,389,100002,4,,,"806586:1,806553:12",1,120,物理攻击_1584;法术攻击_1584,,40
390,,390,100002,5,,,,1,120,物理攻击_1980;法术攻击_1980,,40
391,,391,101005,,,,"806586:1,806553:1",1,30,,,40
392,,392,101005,1,,,"806586:1,806553:3",1,60,物理攻击_396;法术攻击_396,,40
393,,393,101005,2,,,"806586:1,806553:6",1,90,物理攻击_792;法术攻击_792,,40
394,,394,101005,3,,,"806586:1,806553:9",1,120,物理攻击_1188;法术攻击_1188,,40
395,,395,101005,4,,,"806586:1,806553:12",1,120,物理攻击_1584;法术攻击_1584,,40
396,,396,101005,5,,,,1,120,物理攻击_1980;法术攻击_1980,,40
397,,397,100008,,,,"806586:1,806553:1",1,30,,,40
398,,398,100008,1,,,"806586:1,806553:3",1,60,物理攻击_504;法术攻击_504,,40
399,,399,100008,2,,,"806586:1,806553:6",1,90,物理攻击_1008;法术攻击_1008,,40
400,,400,100008,3,,,"806586:1,806553:9",1,120,物理攻击_1512;法术攻击_1512,,40
401,,401,100008,4,,,"806586:1,806553:12",1,120,物理攻击_2016;法术攻击_2016,,40
402,,402,100008,5,,,,1,120,物理攻击_2520;法术攻击_2520,,40
403,,403,101008,,,,"806586:1,806553:1",1,30,,,40
404,,404,101008,1,,,"806586:1,806553:3",1,60,物理攻击_504;法术攻击_504,,40
405,,405,101008,2,,,"806586:1,806553:6",1,90,物理攻击_1008;法术攻击_1008,,40
406,,406,101008,3,,,"806586:1,806553:9",1,120,物理攻击_1512;法术攻击_1512,,40
407,,407,101008,4,,,"806586:1,806553:12",1,120,物理攻击_2016;法术攻击_2016,,40
408,,408,101008,5,,,,1,120,物理攻击_2520;法术攻击_2520,,40
409,,409,100011,,,,"806586:1,806553:1",1,30,,,40
410,,410,100011,1,,,"806586:1,806553:3",1,60,物理攻击_378;法术攻击_378,,40
411,,411,100011,2,,,"806586:1,806553:6",1,90,物理攻击_756;法术攻击_756,,40
412,,412,100011,3,,,"806586:1,806553:9",1,120,物理攻击_1134;法术攻击_1134,,40
413,,413,100011,4,,,"806586:1,806553:12",1,120,物理攻击_1512;法术攻击_1512,,40
414,,414,100011,5,,,,1,120,物理攻击_1890;法术攻击_1890,,40
415,,415,101011,,,,"806586:1,806553:1",1,30,,,40
416,,416,101011,1,,,"806586:1,806553:3",1,60,物理攻击_378;法术攻击_378,,40
417,,417,101011,2,,,"806586:1,806553:6",1,90,物理攻击_756;法术攻击_756,,40
418,,418,101011,3,,,"806586:1,806553:9",1,120,物理攻击_1134;法术攻击_1134,,40
419,,419,101011,4,,,"806586:1,806553:12",1,120,物理攻击_1512;法术攻击_1512,,40
420,,420,101011,5,,,,1,120,物理攻击_1890;法术攻击_1890,,40
421,,421,100001,,,,"806586:1,806553:1",1,30,,,40
422,,422,100001,1,,,"806586:1,806553:3",1,60,物理攻击_432,,40
423,,423,100001,2,,,"806586:1,806553:6",1,90,物理攻击_864,,40
424,,424,100001,3,,,"806586:1,806553:9",1,120,物理攻击_1296,,40
425,,425,100001,4,,,"806586:1,806553:12",1,120,物理攻击_1728,,40
426,,426,100001,5,,,,1,120,物理攻击_2160,,40
427,,427,101001,,,,"806586:1,806553:1",1,30,,,40
428,,428,101001,1,,,"806586:1,806553:3",1,60,物理攻击_432,,40
429,,429,101001,2,,,"806586:1,806553:6",1,90,物理攻击_864,,40
430,,430,101001,3,,,"806586:1,806553:9",1,120,物理攻击_1296,,40
431,,431,101001,4,,,"806586:1,806553:12",1,120,物理攻击_1728,,40
432,,432,101001,5,,,,1,120,物理攻击_2160,,40
