key,Remarks,id,isPlayer,order,level,coin,potential
1_0_89,,1_0_89,1,,89,1410000,6800
1_0_90,,1_0_90,1,,90,1470000,6900
1_1_1,,1_1_1,1,1,1,750,10
1_1_2,,1_1_2,1,1,2,1000,50
1_1_3,,1_1_3,1,1,3,1200,100
1_1_4,,1_1_4,1,1,4,1700,150
1_1_5,,1_1_5,1,1,5,2200,200
1_1_6,,1_1_6,1,1,6,2500,250
1_1_7,,1_1_7,1,1,7,2500,300
1_1_8,,1_1_8,1,1,8,2500,350
1_1_9,,1_1_9,1,1,9,2500,400
1_1_10,,1_1_10,1,1,10,2700,450
1_1_11,,1_1_11,1,1,11,3000,500
1_1_12,,1_1_12,1,1,12,3300,550
1_1_13,,1_1_13,1,1,13,3600,600
1_1_14,,1_1_14,1,1,14,3900,650
1_1_15,,1_1_15,1,1,15,4000,700
1_1_16,,1_1_16,1,1,16,4200,750
1_1_17,,1_1_17,1,1,17,4600,800
1_1_18,,1_1_18,1,1,18,5500,850
1_1_19,,1_1_19,1,1,19,6200,900
1_1_20,,1_1_20,1,1,20,9600,950
1_1_21,,1_1_21,1,1,21,10700,1000
1_1_22,,1_1_22,1,1,22,11900,1050
1_1_23,,1_1_23,1,1,23,13300,1100
1_1_24,,1_1_24,1,1,24,14800,1150
1_1_25,,1_1_25,1,1,25,15500,1200
1_1_26,,1_1_26,1,1,26,16100,1250
1_1_27,,1_1_27,1,1,27,16800,1300
1_1_28,,1_1_28,1,1,28,17500,1350
1_1_29,,1_1_29,1,1,29,18300,1400
1_1_30,,1_1_30,1,1,30,19000,1450
1_1_31,,1_1_31,1,1,31,23000,1500
1_1_32,,1_1_32,1,1,32,24000,1550
1_1_33,,1_1_33,1,1,33,26000,1600
1_1_34,,1_1_34,1,1,34,27000,1650
1_1_35,,1_1_35,1,1,35,29000,1700
1_1_36,,1_1_36,1,1,36,32000,1750
1_1_37,,1_1_37,1,1,37,34000,1800
1_1_38,,1_1_38,1,1,38,37000,1850
1_1_39,,1_1_39,1,1,39,41000,1900
1_1_40,,1_1_40,1,1,40,44000,1950
1_1_41,,1_1_41,1,1,41,47000,2000
1_1_42,,1_1_42,1,1,42,54000,2100
1_1_43,,1_1_43,1,1,43,67000,2200
1_1_44,,1_1_44,1,1,44,82000,2300
1_1_45,,1_1_45,1,1,45,97000,2400
1_1_46,,1_1_46,1,1,46,114000,2500
1_1_47,,1_1_47,1,1,47,132000,2600
1_1_48,,1_1_48,1,1,48,152000,2700
1_1_49,,1_1_49,1,1,49,173000,2800
1_1_50,,1_1_50,1,1,50,149000,2900
1_1_51,,1_1_51,1,1,51,167000,3000
1_1_52,,1_1_52,1,1,52,186000,3100
1_1_53,,1_1_53,1,1,53,206000,3200
1_1_54,,1_1_54,1,1,54,228000,3300
1_1_55,,1_1_55,1,1,55,251000,3400
1_1_56,,1_1_56,1,1,56,275000,3500
1_1_57,,1_1_57,1,1,57,300000,3600
1_1_58,,1_1_58,1,1,58,320000,3700
1_1_59,,1_1_59,1,1,59,350000,3800
1_1_60,,1_1_60,1,1,60,380000,3900
1_1_61,,1_1_61,1,1,61,400000,4000
1_1_62,,1_1_62,1,1,62,420000,4100
1_1_63,,1_1_63,1,1,63,440000,4200
1_1_64,,1_1_64,1,1,64,460000,4300
1_1_65,,1_1_65,1,1,65,480000,4400
1_1_66,,1_1_66,1,1,66,510000,4500
1_1_67,,1_1_67,1,1,67,530000,4600
1_1_68,,1_1_68,1,1,68,560000,4700
1_1_69,,1_1_69,1,1,69,580000,4800
1_1_70,,1_1_70,1,1,70,610000,4900
1_1_71,,1_1_71,1,1,71,640000,5000
1_1_72,,1_1_72,1,1,72,670000,5100
1_1_73,,1_1_73,1,1,73,700000,5200
1_1_74,,1_1_74,1,1,74,730000,5300
1_1_75,,1_1_75,1,1,75,770000,5400
1_1_76,,1_1_76,1,1,76,800000,5500
1_1_77,,1_1_77,1,1,77,840000,5600
1_1_78,,1_1_78,1,1,78,880000,5700
1_1_79,,1_1_79,1,1,79,920000,5800
1_1_80,,1_1_80,1,1,80,960000,5900
1_1_81,,1_1_81,1,1,81,1000000,6000
1_1_82,,1_1_82,1,1,82,1050000,6100
1_1_83,,1_1_83,1,1,83,1090000,6200
1_1_84,,1_1_84,1,1,84,1140000,6300
1_1_85,,1_1_85,1,1,85,1190000,6400
1_1_86,,1_1_86,1,1,86,1240000,6500
1_1_87,,1_1_87,1,1,87,1300000,6600
1_1_88,,1_1_88,1,1,88,1350000,6700
1_1_89,,1_1_89,1,1,89,1410000,6800
1_1_90,,1_1_90,1,1,90,1470000,6900
1_2_1,,1_2_1,1,2,1,750,10
1_2_2,,1_2_2,1,2,2,1000,50
1_2_3,,1_2_3,1,2,3,1200,100
1_2_4,,1_2_4,1,2,4,1700,150
1_2_5,,1_2_5,1,2,5,2200,200
1_2_6,,1_2_6,1,2,6,2500,250
1_2_7,,1_2_7,1,2,7,2500,300
1_2_8,,1_2_8,1,2,8,2500,350
1_2_9,,1_2_9,1,2,9,2500,400
1_2_10,,1_2_10,1,2,10,2700,450
1_2_11,,1_2_11,1,2,11,3000,500
1_2_12,,1_2_12,1,2,12,3300,550
1_2_13,,1_2_13,1,2,13,3600,600
1_2_14,,1_2_14,1,2,14,3900,650
1_2_15,,1_2_15,1,2,15,4000,700
1_2_16,,1_2_16,1,2,16,4200,750
1_2_17,,1_2_17,1,2,17,4600,800
1_2_18,,1_2_18,1,2,18,5500,850
1_2_19,,1_2_19,1,2,19,6200,900
1_2_20,,1_2_20,1,2,20,9600,950
1_2_21,,1_2_21,1,2,21,10700,1000
1_2_22,,1_2_22,1,2,22,11900,1050
1_2_23,,1_2_23,1,2,23,13300,1100
1_2_24,,1_2_24,1,2,24,14800,1150
1_2_25,,1_2_25,1,2,25,15500,1200
1_2_26,,1_2_26,1,2,26,16100,1250
1_2_27,,1_2_27,1,2,27,16800,1300
1_2_28,,1_2_28,1,2,28,17500,1350
1_2_29,,1_2_29,1,2,29,18300,1400
1_2_30,,1_2_30,1,2,30,19000,1450
1_2_31,,1_2_31,1,2,31,23000,1500
1_2_32,,1_2_32,1,2,32,24000,1550
1_2_33,,1_2_33,1,2,33,26000,1600
1_2_34,,1_2_34,1,2,34,27000,1650
1_2_35,,1_2_35,1,2,35,29000,1700
1_2_36,,1_2_36,1,2,36,32000,1750
1_2_37,,1_2_37,1,2,37,34000,1800
1_2_38,,1_2_38,1,2,38,37000,1850
1_2_39,,1_2_39,1,2,39,41000,1900
1_2_40,,1_2_40,1,2,40,44000,1950
1_2_41,,1_2_41,1,2,41,47000,2000
1_2_42,,1_2_42,1,2,42,54000,2100
1_2_43,,1_2_43,1,2,43,67000,2200
1_2_44,,1_2_44,1,2,44,82000,2300
1_2_45,,1_2_45,1,2,45,97000,2400
1_2_46,,1_2_46,1,2,46,114000,2500
1_2_47,,1_2_47,1,2,47,132000,2600
1_2_48,,1_2_48,1,2,48,152000,2700
1_2_49,,1_2_49,1,2,49,173000,2800
1_2_50,,1_2_50,1,2,50,149000,2900
1_2_51,,1_2_51,1,2,51,167000,3000
1_2_52,,1_2_52,1,2,52,186000,3100
1_2_53,,1_2_53,1,2,53,206000,3200
1_2_54,,1_2_54,1,2,54,228000,3300
1_2_55,,1_2_55,1,2,55,251000,3400
1_2_56,,1_2_56,1,2,56,275000,3500
1_2_57,,1_2_57,1,2,57,300000,3600
1_2_58,,1_2_58,1,2,58,320000,3700
1_2_59,,1_2_59,1,2,59,350000,3800
1_2_60,,1_2_60,1,2,60,380000,3900
1_2_61,,1_2_61,1,2,61,400000,4000
1_2_62,,1_2_62,1,2,62,420000,4100
1_2_63,,1_2_63,1,2,63,440000,4200
1_2_64,,1_2_64,1,2,64,460000,4300
1_2_65,,1_2_65,1,2,65,480000,4400
1_2_66,,1_2_66,1,2,66,510000,4500
1_2_67,,1_2_67,1,2,67,530000,4600
1_2_68,,1_2_68,1,2,68,560000,4700
1_2_69,,1_2_69,1,2,69,580000,4800
1_2_70,,1_2_70,1,2,70,610000,4900
1_2_71,,1_2_71,1,2,71,640000,5000
1_2_72,,1_2_72,1,2,72,670000,5100
1_2_73,,1_2_73,1,2,73,700000,5200
1_2_74,,1_2_74,1,2,74,730000,5300
1_2_75,,1_2_75,1,2,75,770000,5400
1_2_76,,1_2_76,1,2,76,800000,5500
1_2_77,,1_2_77,1,2,77,840000,5600
1_2_78,,1_2_78,1,2,78,880000,5700
1_2_79,,1_2_79,1,2,79,920000,5800
1_2_80,,1_2_80,1,2,80,960000,5900
1_2_81,,1_2_81,1,2,81,1000000,6000
1_2_82,,1_2_82,1,2,82,1050000,6100
1_2_83,,1_2_83,1,2,83,1090000,6200
1_2_84,,1_2_84,1,2,84,1140000,6300
1_2_85,,1_2_85,1,2,85,1190000,6400
1_2_86,,1_2_86,1,2,86,1240000,6500
1_2_87,,1_2_87,1,2,87,1300000,6600
1_2_88,,1_2_88,1,2,88,1350000,6700
1_2_89,,1_2_89,1,2,89,1410000,6800
1_2_90,,1_2_90,1,2,90,1470000,6900
1_3_1,,1_3_1,1,3,1,750,10
1_3_2,,1_3_2,1,3,2,1000,50
1_3_3,,1_3_3,1,3,3,1200,100
1_3_4,,1_3_4,1,3,4,1700,150
1_3_5,,1_3_5,1,3,5,2200,200
1_3_6,,1_3_6,1,3,6,2500,250
1_3_7,,1_3_7,1,3,7,2500,300
1_3_8,,1_3_8,1,3,8,2500,350
1_3_9,,1_3_9,1,3,9,2500,400
1_3_10,,1_3_10,1,3,10,2700,450
1_3_11,,1_3_11,1,3,11,3000,500
1_3_12,,1_3_12,1,3,12,3300,550
1_3_13,,1_3_13,1,3,13,3600,600
1_3_14,,1_3_14,1,3,14,3900,650
1_3_15,,1_3_15,1,3,15,4000,700
1_3_16,,1_3_16,1,3,16,4200,750
1_3_17,,1_3_17,1,3,17,4600,800
1_3_18,,1_3_18,1,3,18,5500,850
1_3_19,,1_3_19,1,3,19,6200,900
1_3_20,,1_3_20,1,3,20,9600,950
1_3_21,,1_3_21,1,3,21,10700,1000
1_3_22,,1_3_22,1,3,22,11900,1050
1_3_23,,1_3_23,1,3,23,13300,1100
1_3_24,,1_3_24,1,3,24,14800,1150
1_3_25,,1_3_25,1,3,25,15500,1200
1_3_26,,1_3_26,1,3,26,16100,1250
1_3_27,,1_3_27,1,3,27,16800,1300
1_3_28,,1_3_28,1,3,28,17500,1350
1_3_29,,1_3_29,1,3,29,18300,1400
1_3_30,,1_3_30,1,3,30,19000,1450
1_3_31,,1_3_31,1,3,31,23000,1500
1_3_32,,1_3_32,1,3,32,24000,1550
1_3_33,,1_3_33,1,3,33,26000,1600
1_3_34,,1_3_34,1,3,34,27000,1650
1_3_35,,1_3_35,1,3,35,29000,1700
1_3_36,,1_3_36,1,3,36,32000,1750
1_3_37,,1_3_37,1,3,37,34000,1800
1_3_38,,1_3_38,1,3,38,37000,1850
1_3_39,,1_3_39,1,3,39,41000,1900
1_3_40,,1_3_40,1,3,40,44000,1950
1_3_41,,1_3_41,1,3,41,47000,2000
1_3_42,,1_3_42,1,3,42,54000,2100
1_3_43,,1_3_43,1,3,43,67000,2200
1_3_44,,1_3_44,1,3,44,82000,2300
1_3_45,,1_3_45,1,3,45,97000,2400
1_3_46,,1_3_46,1,3,46,114000,2500
1_3_47,,1_3_47,1,3,47,132000,2600
1_3_48,,1_3_48,1,3,48,152000,2700
1_3_49,,1_3_49,1,3,49,173000,2800
1_3_50,,1_3_50,1,3,50,149000,2900
1_3_51,,1_3_51,1,3,51,167000,3000
1_3_52,,1_3_52,1,3,52,186000,3100
1_3_53,,1_3_53,1,3,53,206000,3200
1_3_54,,1_3_54,1,3,54,228000,3300
1_3_55,,1_3_55,1,3,55,251000,3400
1_3_56,,1_3_56,1,3,56,275000,3500
1_3_57,,1_3_57,1,3,57,300000,3600
1_3_58,,1_3_58,1,3,58,320000,3700
1_3_59,,1_3_59,1,3,59,350000,3800
1_3_60,,1_3_60,1,3,60,380000,3900
1_3_61,,1_3_61,1,3,61,400000,4000
1_3_62,,1_3_62,1,3,62,420000,4100
1_3_63,,1_3_63,1,3,63,440000,4200
1_3_64,,1_3_64,1,3,64,460000,4300
1_3_65,,1_3_65,1,3,65,480000,4400
1_3_66,,1_3_66,1,3,66,510000,4500
1_3_67,,1_3_67,1,3,67,530000,4600
1_3_68,,1_3_68,1,3,68,560000,4700
1_3_69,,1_3_69,1,3,69,580000,4800
1_3_70,,1_3_70,1,3,70,610000,4900
1_3_71,,1_3_71,1,3,71,640000,5000
1_3_72,,1_3_72,1,3,72,670000,5100
1_3_73,,1_3_73,1,3,73,700000,5200
1_3_74,,1_3_74,1,3,74,730000,5300
1_3_75,,1_3_75,1,3,75,770000,5400
1_3_76,,1_3_76,1,3,76,800000,5500
1_3_77,,1_3_77,1,3,77,840000,5600
1_3_78,,1_3_78,1,3,78,880000,5700
1_3_79,,1_3_79,1,3,79,920000,5800
1_3_80,,1_3_80,1,3,80,960000,5900
1_3_81,,1_3_81,1,3,81,1000000,6000
1_3_82,,1_3_82,1,3,82,1050000,6100
1_3_83,,1_3_83,1,3,83,1090000,6200
1_3_84,,1_3_84,1,3,84,1140000,6300
1_3_85,,1_3_85,1,3,85,1190000,6400
1_3_86,,1_3_86,1,3,86,1240000,6500
1_3_87,,1_3_87,1,3,87,1300000,6600
1_3_88,,1_3_88,1,3,88,1350000,6700
1_3_89,,1_3_89,1,3,89,1410000,6800
1_3_90,,1_3_90,1,3,90,1470000,6900
1_4_1,,1_4_1,1,4,1,750,10
1_4_2,,1_4_2,1,4,2,1000,50
1_4_3,,1_4_3,1,4,3,1200,100
1_4_4,,1_4_4,1,4,4,1700,150
1_4_5,,1_4_5,1,4,5,2200,200
1_4_6,,1_4_6,1,4,6,2500,250
1_4_7,,1_4_7,1,4,7,2500,300
1_4_8,,1_4_8,1,4,8,2500,350
1_4_9,,1_4_9,1,4,9,2500,400
1_4_10,,1_4_10,1,4,10,2700,450
1_4_11,,1_4_11,1,4,11,3000,500
1_4_12,,1_4_12,1,4,12,3300,550
1_4_13,,1_4_13,1,4,13,3600,600
1_4_14,,1_4_14,1,4,14,3900,650
1_4_15,,1_4_15,1,4,15,4000,700
1_4_16,,1_4_16,1,4,16,4200,750
1_4_17,,1_4_17,1,4,17,4600,800
1_4_18,,1_4_18,1,4,18,5500,850
1_4_19,,1_4_19,1,4,19,6200,900
1_4_20,,1_4_20,1,4,20,9600,950
1_4_21,,1_4_21,1,4,21,10700,1000
1_4_22,,1_4_22,1,4,22,11900,1050
1_4_23,,1_4_23,1,4,23,13300,1100
1_4_24,,1_4_24,1,4,24,14800,1150
1_4_25,,1_4_25,1,4,25,15500,1200
1_4_26,,1_4_26,1,4,26,16100,1250
1_4_27,,1_4_27,1,4,27,16800,1300
1_4_28,,1_4_28,1,4,28,17500,1350
1_4_29,,1_4_29,1,4,29,18300,1400
1_4_30,,1_4_30,1,4,30,19000,1450
1_4_31,,1_4_31,1,4,31,23000,1500
1_4_32,,1_4_32,1,4,32,24000,1550
1_4_33,,1_4_33,1,4,33,26000,1600
1_4_34,,1_4_34,1,4,34,27000,1650
1_4_35,,1_4_35,1,4,35,29000,1700
1_4_36,,1_4_36,1,4,36,32000,1750
1_4_37,,1_4_37,1,4,37,34000,1800
1_4_38,,1_4_38,1,4,38,37000,1850
1_4_39,,1_4_39,1,4,39,41000,1900
1_4_40,,1_4_40,1,4,40,44000,1950
1_4_41,,1_4_41,1,4,41,47000,2000
1_4_42,,1_4_42,1,4,42,54000,2100
1_4_43,,1_4_43,1,4,43,67000,2200
1_4_44,,1_4_44,1,4,44,82000,2300
1_4_45,,1_4_45,1,4,45,97000,2400
1_4_46,,1_4_46,1,4,46,114000,2500
1_4_47,,1_4_47,1,4,47,132000,2600
1_4_48,,1_4_48,1,4,48,152000,2700
1_4_49,,1_4_49,1,4,49,173000,2800
1_4_50,,1_4_50,1,4,50,149000,2900
1_4_51,,1_4_51,1,4,51,167000,3000
1_4_52,,1_4_52,1,4,52,186000,3100
1_4_53,,1_4_53,1,4,53,206000,3200
1_4_54,,1_4_54,1,4,54,228000,3300
1_4_55,,1_4_55,1,4,55,251000,3400
1_4_56,,1_4_56,1,4,56,275000,3500
1_4_57,,1_4_57,1,4,57,300000,3600
1_4_58,,1_4_58,1,4,58,320000,3700
1_4_59,,1_4_59,1,4,59,350000,3800
1_4_60,,1_4_60,1,4,60,380000,3900
1_4_61,,1_4_61,1,4,61,400000,4000
1_4_62,,1_4_62,1,4,62,420000,4100
1_4_63,,1_4_63,1,4,63,440000,4200
1_4_64,,1_4_64,1,4,64,460000,4300
1_4_65,,1_4_65,1,4,65,480000,4400
1_4_66,,1_4_66,1,4,66,510000,4500
1_4_67,,1_4_67,1,4,67,530000,4600
1_4_68,,1_4_68,1,4,68,560000,4700
1_4_69,,1_4_69,1,4,69,580000,4800
1_4_70,,1_4_70,1,4,70,610000,4900
1_4_71,,1_4_71,1,4,71,640000,5000
1_4_72,,1_4_72,1,4,72,670000,5100
1_4_73,,1_4_73,1,4,73,700000,5200
1_4_74,,1_4_74,1,4,74,730000,5300
1_4_75,,1_4_75,1,4,75,770000,5400
1_4_76,,1_4_76,1,4,76,800000,5500
1_4_77,,1_4_77,1,4,77,840000,5600
1_4_78,,1_4_78,1,4,78,880000,5700
1_4_79,,1_4_79,1,4,79,920000,5800
1_4_80,,1_4_80,1,4,80,960000,5900
1_4_81,,1_4_81,1,4,81,1000000,6000
1_4_82,,1_4_82,1,4,82,1050000,6100
1_4_83,,1_4_83,1,4,83,1090000,6200
1_4_84,,1_4_84,1,4,84,1140000,6300
1_4_85,,1_4_85,1,4,85,1190000,6400
1_4_86,,1_4_86,1,4,86,1240000,6500
1_4_87,,1_4_87,1,4,87,1300000,6600
1_4_88,,1_4_88,1,4,88,1350000,6700
1_4_89,,1_4_89,1,4,89,1410000,6800
1_4_90,,1_4_90,1,4,90,1470000,6900
1_5_1,,1_5_1,1,5,1,750,10
1_5_2,,1_5_2,1,5,2,1000,50
1_5_3,,1_5_3,1,5,3,1200,100
1_5_4,,1_5_4,1,5,4,1700,150
1_5_5,,1_5_5,1,5,5,2200,200
1_5_6,,1_5_6,1,5,6,2500,250
1_5_7,,1_5_7,1,5,7,2500,300
1_5_8,,1_5_8,1,5,8,2500,350
1_5_9,,1_5_9,1,5,9,2500,400
1_5_10,,1_5_10,1,5,10,2700,450
1_5_11,,1_5_11,1,5,11,3000,500
1_5_12,,1_5_12,1,5,12,3300,550
1_5_13,,1_5_13,1,5,13,3600,600
1_5_14,,1_5_14,1,5,14,3900,650
1_5_15,,1_5_15,1,5,15,4000,700
1_5_16,,1_5_16,1,5,16,4200,750
1_5_17,,1_5_17,1,5,17,4600,800
1_5_18,,1_5_18,1,5,18,5500,850
1_5_19,,1_5_19,1,5,19,6200,900
1_5_20,,1_5_20,1,5,20,9600,950
1_5_21,,1_5_21,1,5,21,10700,1000
1_5_22,,1_5_22,1,5,22,11900,1050
1_5_23,,1_5_23,1,5,23,13300,1100
1_5_24,,1_5_24,1,5,24,14800,1150
1_5_25,,1_5_25,1,5,25,15500,1200
1_5_26,,1_5_26,1,5,26,16100,1250
1_5_27,,1_5_27,1,5,27,16800,1300
1_5_28,,1_5_28,1,5,28,17500,1350
1_5_29,,1_5_29,1,5,29,18300,1400
1_5_30,,1_5_30,1,5,30,19000,1450
1_5_31,,1_5_31,1,5,31,23000,1500
1_5_32,,1_5_32,1,5,32,24000,1550
1_5_33,,1_5_33,1,5,33,26000,1600
1_5_34,,1_5_34,1,5,34,27000,1650
1_5_35,,1_5_35,1,5,35,29000,1700
1_5_36,,1_5_36,1,5,36,32000,1750
1_5_37,,1_5_37,1,5,37,34000,1800
1_5_38,,1_5_38,1,5,38,37000,1850
1_5_39,,1_5_39,1,5,39,41000,1900
1_5_40,,1_5_40,1,5,40,44000,1950
1_5_41,,1_5_41,1,5,41,47000,2000
1_5_42,,1_5_42,1,5,42,54000,2100
1_5_43,,1_5_43,1,5,43,67000,2200
1_5_44,,1_5_44,1,5,44,82000,2300
1_5_45,,1_5_45,1,5,45,97000,2400
1_5_46,,1_5_46,1,5,46,114000,2500
1_5_47,,1_5_47,1,5,47,132000,2600
1_5_48,,1_5_48,1,5,48,152000,2700
1_5_49,,1_5_49,1,5,49,173000,2800
1_5_50,,1_5_50,1,5,50,149000,2900
1_5_51,,1_5_51,1,5,51,167000,3000
1_5_52,,1_5_52,1,5,52,186000,3100
1_5_53,,1_5_53,1,5,53,206000,3200
1_5_54,,1_5_54,1,5,54,228000,3300
1_5_55,,1_5_55,1,5,55,251000,3400
1_5_56,,1_5_56,1,5,56,275000,3500
1_5_57,,1_5_57,1,5,57,300000,3600
1_5_58,,1_5_58,1,5,58,320000,3700
1_5_59,,1_5_59,1,5,59,350000,3800
1_5_60,,1_5_60,1,5,60,380000,3900
1_5_61,,1_5_61,1,5,61,400000,4000
1_5_62,,1_5_62,1,5,62,420000,4100
1_5_63,,1_5_63,1,5,63,440000,4200
1_5_64,,1_5_64,1,5,64,460000,4300
1_5_65,,1_5_65,1,5,65,480000,4400
1_5_66,,1_5_66,1,5,66,510000,4500
1_5_67,,1_5_67,1,5,67,530000,4600
1_5_68,,1_5_68,1,5,68,560000,4700
1_5_69,,1_5_69,1,5,69,580000,4800
1_5_70,,1_5_70,1,5,70,610000,4900
1_5_71,,1_5_71,1,5,71,640000,5000
1_5_72,,1_5_72,1,5,72,670000,5100
1_5_73,,1_5_73,1,5,73,700000,5200
1_5_74,,1_5_74,1,5,74,730000,5300
1_5_75,,1_5_75,1,5,75,770000,5400
1_5_76,,1_5_76,1,5,76,800000,5500
1_5_77,,1_5_77,1,5,77,840000,5600
1_5_78,,1_5_78,1,5,78,880000,5700
1_5_79,,1_5_79,1,5,79,920000,5800
1_5_80,,1_5_80,1,5,80,960000,5900
1_5_81,,1_5_81,1,5,81,1000000,6000
1_5_82,,1_5_82,1,5,82,1050000,6100
1_5_83,,1_5_83,1,5,83,1090000,6200
1_5_84,,1_5_84,1,5,84,1140000,6300
1_5_85,,1_5_85,1,5,85,1190000,6400
1_5_86,,1_5_86,1,5,86,1240000,6500
1_5_87,,1_5_87,1,5,87,1300000,6600
1_5_88,,1_5_88,1,5,88,1350000,6700
1_5_89,,1_5_89,1,5,89,1410000,6800
1_5_90,,1_5_90,1,5,90,1470000,6900
