key,Remarks,uniqueId,level,maxLevel,floor,minFightingRatio,maxFightingRatio,robotId,fk,fk1,fk2
479,,479,58,58,14,1.05,1.15,928,59,625577,688134
480,,480,58,58,15,1.05,1.15,929,59,625577,688134
481,,481,59,59,1,0.45,0.55,930,44,638437,319218
482,,482,59,59,2,0.55,0.65,931,47,638437,383062
483,,483,59,59,3,0.65,0.75,932,50,638437,446905
484,,484,59,59,4,0.75,0.85,933,53,638437,510749
485,,485,59,59,5,0.85,0.95,934,55,638437,574593
486,,486,59,59,6,0.95,1.05,935,58,638437,638437
487,,487,59,59,7,0.95,1.05,936,58,638437,638437
488,,488,59,59,8,0.95,1.05,937,58,638437,638437
489,,489,59,59,9,0.95,1.05,938,58,638437,638437
490,,490,59,59,10,0.95,1.05,939,58,638437,638437
491,,491,59,59,11,1.05,1.15,940,61,638437,702280
492,,492,59,59,12,1.05,1.15,941,61,638437,702280
493,,493,59,59,13,1.05,1.15,942,61,638437,702280
494,,494,59,59,14,1.05,1.15,943,61,638437,702280
495,,495,59,59,15,1.05,1.15,944,61,638437,702280
496,,496,60,60,1,0.45,0.55,945,45,691385,345692
497,,497,60,60,2,0.55,0.65,946,49,691385,414831
498,,498,60,60,3,0.65,0.75,947,51,691385,483969
499,,499,60,60,4,0.75,0.85,948,54,691385,553108
500,,500,60,60,5,0.85,0.95,949,57,691385,622246
501,,501,60,60,6,0.95,1.05,950,59,691385,691385
502,,502,60,60,7,0.95,1.05,951,59,691385,691385
503,,503,60,60,8,0.95,1.05,952,59,691385,691385
504,,504,60,60,9,0.95,1.05,953,59,691385,691385
505,,505,60,60,10,0.95,1.05,954,59,691385,691385
506,,506,60,60,11,1.05,1.15,955,64,691385,760523
507,,507,60,60,12,1.05,1.15,956,64,691385,760523
508,,508,60,60,13,1.05,1.15,957,64,691385,760523
509,,509,60,60,14,1.05,1.15,958,64,691385,760523
510,,510,60,60,15,1.05,1.15,959,64,691385,760523
