Key,Remarks,itemId,levelIds,trial,shop,unlink,gainDesc
603323,,603323,,,,,活动、赛事等奖励
603331,,603331,,,,,活动、赛事等奖励
603401,,603401,,,,,"乾坤幻境钻石宝箱有几率开出
贵族4、6赠送"
603402,,603402,,,,,"乾坤幻境钻石宝箱有几率开出
贵族4、6赠送"
603411,,603411,,,,,"乾坤幻境钻石宝箱有几率开出
贵族4、6赠送"
603412,,603412,,,,,"乾坤幻境钻石宝箱有几率开出
贵族4、6赠送"
603421,,603421,,,,,"乾坤幻境钻石宝箱有几率开出
贵族4、6赠送"
603422,,603422,,,,,"乾坤幻境钻石宝箱有几率开出
贵族4、6赠送"
603423,,603423,,,,,"乾坤幻境钻石宝箱有几率开出
贵族4、6赠送"
603431,,603431,,,,,"乾坤幻境钻石宝箱有几率开出
贵族4、6赠送"
603501,,603501,,,,,"乾坤幻境钻石宝箱有几率开出
贵族4、6赠送"
603502,,603502,,,,,"乾坤幻境钻石宝箱有几率开出
贵族4、6赠送"
603511,,603511,,,,,"乾坤幻境钻石宝箱有几率开出
贵族4、6赠送"
603512,,603512,,,,,"乾坤幻境钻石宝箱有几率开出
贵族4、6赠送"
603521,,603521,,,,,"乾坤幻境钻石宝箱有几率开出
贵族4、6赠送"
603522,,603522,,,,,"乾坤幻境钻石宝箱有几率开出
贵族4、6赠送"
603523,,603523,,,,,"乾坤幻境钻石宝箱有几率开出
贵族4、6赠送"
603531,,603531,,,,,"乾坤幻境钻石宝箱有几率开出
贵族4、6赠送"
603601,,603601,,,,,"乾坤幻境积分奖励
幻境商店
乾坤幻境金币宝箱"
603701,,603701,,,,,"乾坤幻境积分奖励
幻境商店
乾坤幻境金币宝箱"
603801,,603801,,,,,"乾坤幻境积分奖励
幻境商店
乾坤幻境金币宝箱"
604901,,604901,,,,,"幻境商店有几率出售
乾坤幻境积分奖励"
604902,,604902,,,,,"幻境商店有几率出售
乾坤幻境积分奖励"
604903,,604903,,,,,"幻境商店有几率出售
乾坤幻境积分奖励"
604904,,604904,,,,,"幻境商店有几率出售
乾坤幻境积分奖励"
604905,,604905,,,,,"幻境商店有几率出售
乾坤幻境积分奖励"
604906,,604906,,,,,"幻境商店有几率出售
乾坤幻境积分奖励"
604907,,604907,,,,,"幻境商店有几率出售
乾坤幻境积分奖励"
604908,,604908,,,,,"幻境商店有几率出售
乾坤幻境积分奖励"
604909,,604909,,,,,活动、赛事等奖励
604910,,604910,,,,,活动、赛事等奖励
604911,,604911,,,,,活动、赛事等奖励
604912,,604912,,,,,活动、赛事等奖励
604913,,604913,,,,,活动、赛事等奖励
604914,,604914,,,,,活动、赛事等奖励
604915,,604915,,,,,活动、赛事等奖励
604916,,604916,,,,,活动、赛事等奖励
604917,,604917,,,,,"乾坤幻境钻石宝箱有几率开出
贵族4、6赠送"
604918,,604918,,,,,"乾坤幻境钻石宝箱有几率开出
贵族4、6赠送"
604919,,604919,,,,,"乾坤幻境钻石宝箱有几率开出
贵族4、6赠送"
604920,,604920,,,,,"乾坤幻境钻石宝箱有几率开出
贵族4、6赠送"
604921,,604921,,,,,"乾坤幻境钻石宝箱有几率开出
贵族4、6赠送"
604922,,604922,,,,,"乾坤幻境钻石宝箱有几率开出
贵族4、6赠送"
604923,,604923,,,,,"乾坤幻境钻石宝箱有几率开出
贵族4、6赠送"
604924,,604924,,,,,"乾坤幻境钻石宝箱有几率开出
贵族4、6赠送"
604925,,604925,,,,,"乾坤幻境积分奖励
幻境商店
乾坤幻境金币宝箱"
604926,,604926,,,,,"乾坤幻境积分奖励
幻境商店
乾坤幻境金币宝箱"
604927,,604927,,,,,"乾坤幻境积分奖励
幻境商店
乾坤幻境金币宝箱"
806354,,806354,,,,,此道具暂不由关卡掉落
801011,,801011,,,,,活动、赛事等奖励
801012,,801012,,,,,活动、赛事等奖励
801013,,801013,,,,,活动、赛事等奖励
806355,,806355,,,,,可由每日充值活动获得
806356,,806356,,,,,可由每日充值活动获得
806357,,806357,,,,,可由每日充值活动获得
802995,,802995,,,,,付费测试竞技场第一名可获得
806901,,806901,,,,,由觉醒商店获得
806902,,806902,,,,,由觉醒商店获得
806903,,806903,,,,,由觉醒商店获得
806904,,806904,,,,,由觉醒商店获得
806905,,806905,,,,,由觉醒商店获得
806906,,806906,,,,,由觉醒商店获得
806907,,806907,,,,,由觉醒商店获得
806908,,806908,,,,,由觉醒商店获得
806909,,806909,,,,,由觉醒商店获得
806910,,806910,,,,,由觉醒商店获得
806911,,806911,,,,,由觉醒商店获得
806912,,806912,,,,,由觉醒商店获得
806913,,806913,,,,,由觉醒商店获得
806914,,806914,,,,,由觉醒商店获得
806915,,806915,,,,,由觉醒商店获得
806916,,806916,,,,,由觉醒商店获得
806917,,806917,,,,,由觉醒商店获得
806918,,806918,,,,,由觉醒商店获得
806919,,806919,,,,,由觉醒商店获得
806920,,806920,,,,,由觉醒商店获得
806921,,806921,,,,,由觉醒商店获得
806922,,806922,,,,,由觉醒商店获得
806923,,806923,,,,,由觉醒商店获得
806924,,806924,,,,,由觉醒商店获得
806925,,806925,,,,,由觉醒商店获得
806926,,806926,,,,,由觉醒商店获得
806927,,806927,,,,,由觉醒商店获得
806928,,806928,,,,,由觉醒商店获得
