Key,Remarks,id,name,consumeType,quality,icon,atlas,enchantExp,priority,stackNum,description,sellPrice,composeItemID,composeNeedNum,composeCostCoin,attrDesc
707130,,707130,银鳞胸甲卷轴碎片,5,1,Scroll/703130,Icon,1,30097,999999,目前版本已不投放道具,1,700098,999,999999,
707131,,707131,炎蟒胸甲卷轴碎片,5,1,Scroll/703131,Icon,1,30098,999999,目前版本已不投放道具,1,700098,999,999999,
707132,,707132,斩影胸甲卷轴碎片,5,1,Scroll/703132,Icon,1,30099,999999,目前版本已不投放道具,1,700098,999,999999,
707139,,707139,冥海带卷轴碎片,5,1,Scroll/703139,Icon,1,30100,999999,目前版本已不投放道具,1,700098,999,999999,
707115,,707115,追星披卷轴碎片,5,1,Scroll/703115,Icon,1,30101,999999,目前版本已不投放道具,1,700098,999,999999,
707142,,707142,风雷护肩卷轴碎片,5,1,Scroll/703142,Icon,1,30102,999999,目前版本已不投放道具,1,700098,999,999999,
707143,,707143,乾坤腰带卷轴碎片,5,1,Scroll/703143,Icon,1,30103,999999,目前版本已不投放道具,1,700098,999,999999,
707144,,707144,修罗护肩卷轴碎片,5,1,Scroll/703144,Icon,1,30104,999999,目前版本已不投放道具,1,700098,999,999999,
707092,,707092,逐日靴卷轴碎片,5,1,Scroll/703092,Icon,1,30105,999999,目前版本已不投放道具,1,700098,999,999999,
707093,,707093,炽焰神靴卷轴碎片,5,1,Scroll/703093,Icon,1,30106,999999,目前版本已不投放道具,1,700098,999,999999,
707094,,707094,御风神靴卷轴碎片,5,1,Scroll/703094,Icon,1,30107,999999,目前版本已不投放道具,1,700098,999,999999,
707096,,707096,步云履卷轴碎片,5,1,Scroll/703096,Icon,1,30108,999999,目前版本已不投放道具,1,700098,999,999999,
707097,,707097,乌光神靴卷轴碎片,5,1,Scroll/703097,Icon,1,30109,999999,目前版本已不投放道具,1,700098,999,999999,
707098,,707098,紫光神靴卷轴碎片,5,1,Scroll/703098,Icon,1,30110,999999,目前版本已不投放道具,1,700098,999,999999,
