key,Remarks,Id,fov,camPosX,camPosY,camPosZ,camRotateX,camRotateY,camRotateZ,BossBattle,BattleOffset,fightBoundary,BGM
111102,,111102,36,0.3,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
111103,,111103,36,0.3,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
111104,,111104,36,0.3,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
111105,,111105,36,0.3,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
111106,,111106,36,0.3,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
111107,,111107,36,0.3,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
111108,,111108,36,0.3,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
111109,,111109,36,0.3,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
111110,,111110,36,0.3,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
111111,,111111,36,0.3,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
111112,,111112,36,0.3,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
111113,,111113,36,0.3,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
111114,,111114,36,0.3,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
111115,,111115,36,0.3,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
111116,,111116,36,0.3,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
111117,,111117,36,0.3,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
111118,,111118,36,0.3,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
111119,,111119,36,0.3,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
111120,,111120,36,0.3,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
111121,,111121,36,-15.63,5,,,-18.92,,1,3,4.5,Scene/Battle/bg_boss2.mp3
121101,,121101,36,0.3,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
121102,,121102,36,0.3,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
121103,,121103,36,0.3,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
121104,,121104,36,0.3,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
121105,,121105,36,0.3,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
121106,,121106,36,0.3,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
121107,,121107,36,-15.63,5,,,-18.92,,1,3,4.5,Scene/Battle/bg_boss2.mp3
140001,,140001,36,0.3,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
140002,,140002,36,0.3,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
140003,,140003,36,0.3,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
140004,,140004,36,0.3,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
140005,,140005,36,0.3,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
140011,,140011,36,0.3,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
140012,,140012,36,0.3,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
140013,,140013,36,0.3,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
140014,,140014,36,0.3,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
140015,,140015,36,0.3,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
140021,,140021,36,-15.63,5,,,-18.92,,1,3,4.5,Scene/Battle/bg_boss2.mp3
140022,,140022,36,-15.63,5,,,-18.92,,1,3,4.5,Scene/Battle/bg_boss2.mp3
140023,,140023,36,-15.63,5,,,-18.92,,1,3,4.5,Scene/Battle/bg_boss2.mp3
140024,,140024,36,-15.63,5,,,-18.92,,1,3,4.5,Scene/Battle/bg_boss2.mp3
140025,,140025,36,-15.63,5,,,-18.92,,1,3,4.5,Scene/Battle/bg_boss2.mp3
140031,,140031,36,-15.63,5,,,-18.92,,1,3,4.5,Scene/Battle/bg_boss2.mp3
140032,,140032,36,-15.63,5,,,-18.92,,1,3,4.5,Scene/Battle/bg_boss2.mp3
140033,,140033,36,-15.63,5,,,-18.92,,1,3,4.5,Scene/Battle/bg_boss2.mp3
140034,,140034,36,-15.63,5,,,-18.92,,1,3,4.5,Scene/Battle/bg_boss2.mp3
140035,,140035,36,-15.63,5,,,-18.92,,1,3,4.5,Scene/Battle/bg_boss2.mp3
150041,,150041,36,0.5,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_boss2.mp3
150042,,150042,36,0.5,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_boss2.mp3
150043,,150043,36,0.5,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_boss2.mp3
150044,,150044,36,0.5,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_boss2.mp3
150045,,150045,36,0.5,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_boss2.mp3
190001,,190001,36,,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_boss2.mp3
190002,,190002,36,,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_boss2.mp3
190003,,190003,36,,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_boss2.mp3
