key,Remarks,roleId,modelId,name,volumeRadius,life,energy,attack,physiqueDef,spiritDef,hit,dodge,attackVampire,critical,criticalHurt,toughness,lifeReceive,energyReceive,energyPerSecond,energyTrans,attackEnergy,struckEnergy,attackHurt,cutHurt,cutCritHurt,resist,addCure,cutCure,doHurt,hardStraight,attackDistance,attackSpeed,moveSpeed,viewRange,lifeGrowUp,attackGrowUp,physicqueDefGrowUp,spiritDefGrowUp,attackType,attackId,skillId01,skillId02,skillId03,skillId04,skillId05,dieSkillId,reactionTime
200009_4,,200009_4,200009,黄龙真人,1,855,1000,154,114,142,,,,,,,271,,5,8,100,200,,,,11,,,0.02,0.5,3,,50,"1,000",18148,3280,1675,2094,1,20000900_1,20000901_1,20000902_1,20000903_1,20000904_1,,,0.25
200009_5,,200009_5,200009,黄龙真人,1,855,1000,154,152,191,,,,,,,271,,5,8,100,200,,,,11,,,0.02,0.5,3,,50,"1,000",28600,5170,2640,3300,1,20000900_1,20000901_1,20000902_1,20000903_1,20000904_1,,,0.25
200004_1,,200004_1,200004,魔礼海,1,624,1000,134,71,56,,,,,,,65,,5,8,100,200,,,,11,,,0.02,0.5,3,,50,"1,000",4180,902,550,440,,20000400_1,20000401_1,20000402_1,20000403_1,20000404_1,,,0.25
200004_2,,200004_2,200004,魔礼海,1,624,1000,134,82,65,,,,,,,65,,5,8,100,200,,,,11,,,0.02,0.5,3,,50,"1,000",6270,1353,825,660,,20000400_1,20000401_1,20000402_1,20000403_1,20000404_1,,,0.25
200004_3,,200004_3,200004,魔礼海,1,624,1000,134,97,77,,,,,,,65,,5,8,100,200,,,,11,,,0.02,0.5,3,,50,"1,000",9196,1984,1210,968,,20000400_1,20000401_1,20000402_1,20000403_1,20000404_1,,,0.25
200004_4,,200004_4,200004,魔礼海,1,624,1000,134,118,94,,,,,,,65,,5,8,100,200,,,,11,,,0.02,0.5,3,,50,"1,000",13262,2861,1745,1396,,20000400_1,20000401_1,20000402_1,20000403_1,20000404_1,,,0.25
200004_5,,200004_5,200004,魔礼海,1,624,1000,134,159,127,,,,,,,65,,5,8,100,200,,,,11,,,0.02,0.5,3,,50,"1,000",20900,4510,2750,2200,,20000400_1,20000401_1,20000402_1,20000403_1,20000404_1,,,0.25
200010_1,,200010_1,200010,道行天尊,1,855,1000,154,68,85,,,,,,,271,,5,8,100,200,,,,11,,,0.02,0.5,3,,50,"1,000",5720,1034,528,660,1,20001000_1,20001001_1,20001002_1,20001003_1,20001004_1,,,0.25
200010_2,,200010_2,200010,道行天尊,1,855,1000,154,78,98,,,,,,,271,,5,8,100,200,,,,11,,,0.02,0.5,3,,50,"1,000",8580,1551,792,990,1,20001000_1,20001001_1,20001002_1,20001003_1,20001004_1,,,0.25
200010_3,,200010_3,200010,道行天尊,1,855,1000,154,93,117,,,,,,,271,,5,8,100,200,,,,11,,,0.02,0.5,3,,50,"1,000",12584,2274,1161,1452,1,20001000_1,20001001_1,20001002_1,20001003_1,20001004_1,,,0.25
200010_4,,200010_4,200010,道行天尊,1,855,1000,154,114,142,,,,,,,271,,5,8,100,200,,,,11,,,0.02,0.5,3,,50,"1,000",18148,3280,1675,2094,1,20001000_1,20001001_1,20001002_1,20001003_1,20001004_1,,,0.25
200010_5,,200010_5,200010,道行天尊,1,855,1000,154,152,191,,,,,,,271,,5,8,100,200,,,,11,,,0.02,0.5,3,,50,"1,000",28600,5170,2640,3300,1,20001000_1,20001001_1,20001002_1,20001003_1,20001004_1,,,0.25
204005_1,,204005_1,204005,高友乾,1,602,1000,129,69,55,,,,,,,62,,5,8,100,200,,,,11,,,0.02,0.5,3,,50,"1,000",3800,820,500,400,,20400500_1,20400501_1,20400502_1,20400503_1,20400504_1,,,0.25
204005_2,,204005_2,204005,高友乾,1,602,1000,129,79,63,,,,,,,62,,5,8,100,200,,,,11,,,0.02,0.5,3,,50,"1,000",5700,1230,750,600,,20400500_1,20400501_1,20400502_1,20400503_1,20400504_1,,,0.25
204005_3,,204005_3,204005,高友乾,1,602,1000,129,93,74,,,,,,,62,,5,8,100,200,,,,11,,,0.02,0.5,3,,50,"1,000",8360,1804,1100,880,,20400500_1,20400501_1,20400502_1,20400503_1,20400504_1,,,0.25
204005_4,,204005_4,204005,高友乾,1,602,1000,129,112,89,,,,,,,62,,5,8,100,200,,,,11,,,0.02,0.5,3,,50,"1,000",12084,2607,1590,1272,,20400500_1,20400501_1,20400502_1,20400503_1,20400504_1,,,0.25
204005_5,,204005_5,204005,高友乾,1,602,1000,129,149,119,,,,,,,62,,5,8,100,200,,,,11,,,0.02,0.5,3,,50,"1,000",19000,4100,2500,2000,,20400500_1,20400501_1,20400502_1,20400503_1,20400504_1,,,0.25
201007_1,,201007_1,201007,董天君,1,682,1000,170,58,73,,,,,,,219,,5,8,100,200,,,,11,,,0.02,0.5,3,,50,"1,000",4800,1200,480,600,1,20100700_1,20100701_1,20100702_1,20100703_1,20100704_1,,,0.25
201007_2,,201007_2,201007,董天君,1,682,1000,170,67,85,,,,,,,219,,5,8,100,200,,,,11,,,0.02,0.5,3,,50,"1,000",7200,1800,720,900,1,20100700_1,20100701_1,20100702_1,20100703_1,20100704_1,,,0.25
201007_3,,201007_3,201007,董天君,1,682,1000,170,81,101,,,,,,,219,,5,8,100,200,,,,11,,,0.02,0.5,3,,50,"1,000",10560,2640,1056,1320,1,20100700_1,20100701_1,20100702_1,20100703_1,20100704_1,,,0.25
201007_4,,201007_4,201007,董天君,1,682,1000,170,99,125,,,,,,,219,,5,8,100,200,,,,11,,,0.02,0.5,3,,50,"1,000",15240,3810,1524,1905,1,20100700_1,20100701_1,20100702_1,20100703_1,20100704_1,,,0.25
201007_5,,201007_5,201007,董天君,1,682,1000,170,135,169,,,,,,,219,,5,8,100,200,,,,11,,,0.02,0.5,3,,50,"1,000",24000,6000,2400,3000,1,20100700_1,20100701_1,20100702_1,20100703_1,20100704_1,,,0.25
203010_1,,203010_1,203010,广成子,1,665,1000,122,55,69,,,,,,,68,,5,8,100,200,,,,11,,,0.02,0.5,6.5,,50,"1,000",4200,780,400,500,1,20301000_1,20301001_1,20301002_1,20301003_1,20301004_1,,,0.3
203010_2,,203010_2,203010,广成子,1,665,1000,122,63,79,,,,,,,68,,5,8,100,200,,,,11,,,0.02,0.5,6.5,,50,"1,000",6300,1170,600,750,1,20301000_1,20301001_1,20301002_1,20301003_1,20301004_1,,,0.3
203010_3,,203010_3,203010,广成子,1,665,1000,122,74,93,,,,,,,68,,5,8,100,200,,,,11,,,0.02,0.5,6.5,,50,"1,000",9240,1716,880,1100,1,20301000_1,20301001_1,20301002_1,20301003_1,20301004_1,,,0.3
203010_4,,203010_4,203010,广成子,1,665,1000,122,89,112,,,,,,,68,,5,8,100,200,,,,11,,,0.02,0.5,6.5,,50,"1,000",13356,2480,1272,1590,1,20301000_1,20301001_1,20301002_1,20301003_1,20301004_1,,,0.3
203010_5,,203010_5,203010,广成子,1,665,1000,122,119,149,,,,,,,68,,5,8,100,200,,,,11,,,0.02,0.5,6.5,,50,"1,000",21000,3900,2000,2500,1,20301000_1,20301001_1,20301002_1,20301003_1,20301004_1,,,0.3
204002_1,,204002_1,204002,喜媚儿,1,647,1000,139,58,73,,,,,,,69,,5,8,100,200,,,,11,,,0.02,0.5,6.5,,50,"1,000",4560,984,480,600,1,20400200_1,20400201_1,20400202_1,20400203_1,20400204_1,,,0.5
204002_2,,204002_2,204002,喜媚儿,1,647,1000,139,67,85,,,,,,,69,,5,8,100,200,,,,11,,,0.02,0.5,6.5,,50,"1,000",6840,1476,720,900,1,20400200_1,20400201_1,20400202_1,20400203_1,20400204_1,,,0.5
204002_3,,204002_3,204002,喜媚儿,1,647,1000,139,81,101,,,,,,,69,,5,8,100,200,,,,11,,,0.02,0.5,6.5,,50,"1,000",10032,2164,1056,1320,1,20400200_1,20400201_1,20400202_1,20400203_1,20400204_1,,,0.5
204002_4,,204002_4,204002,喜媚儿,1,647,1000,139,99,125,,,,,,,69,,5,8,100,200,,,,11,,,0.02,0.5,6.5,,50,"1,000",14478,3124,1524,1905,1,20400200_1,20400201_1,20400202_1,20400203_1,20400204_1,,,0.5
204002_5,,204002_5,204002,喜媚儿,1,647,1000,139,135,169,,,,,,,69,,5,8,100,200,,,,11,,,0.02,0.5,6.5,,50,"1,000",22800,4920,2400,3000,1,20400200_1,20400201_1,20400202_1,20400203_1,20400204_1,,,0.5
203013_1,,203013_1,203013,申公豹,1,546,1000,234,53,67,,,,,,,118,,5,8,100,200,,,,11,,,0.02,0.5,5,,50,"1,000",4030,1729,468,585,1,20301300_1,20301301_1,20301302_1,20301303_1,20301304_1,,,0.25
203013_2,,203013_2,203013,申公豹,1,546,1000,234,63,79,,,,,,,118,,5,8,100,200,,,,11,,,0.02,0.5,5,,50,"1,000",6045,2593,702,877,1,20301300_1,20301301_1,20301302_1,20301303_1,20301304_1,,,0.25
203013_3,,203013_3,203013,申公豹,1,546,1000,234,76,95,,,,,,,118,,5,8,100,200,,,,11,,,0.02,0.5,5,,50,"1,000",8866,3803,1029,1287,1,20301300_1,20301301_1,20301302_1,20301303_1,20301304_1,,,0.25
203013_4,,203013_4,203013,申公豹,1,546,1000,234,94,118,,,,,,,118,,5,8,100,200,,,,11,,,0.02,0.5,5,,50,"1,000",12803,5492,1486,1858,1,20301300_1,20301301_1,20301302_1,20301303_1,20301304_1,,,0.25
203013_5,,203013_5,203013,申公豹,1,546,1000,234,128,161,,,,,,,118,,5,8,100,200,,,,11,,,0.02,0.5,5,,50,"1,000",20150,8645,2340,2925,1,20301300_1,20301301_1,20301302_1,20301303_1,20301304_1,,,0.25
203004_1,,203004_1,203004,妲己,1,546,1000,234,53,67,,,,,,,118,,5,8,100,200,,,,11,,,0.02,0.5,5,,50,"1,000",4030,1729,468,585,1,20300400_1,20300401_1,20300402_1,20300403_1,20300404_1,,,0.3
203004_2,,203004_2,203004,妲己,1,546,1000,234,63,79,,,,,,,118,,5,8,100,200,,,,11,,,0.02,0.5,5,,50,"1,000",6045,2593,702,877,1,20300400_1,20300401_1,20300402_1,20300403_1,20300404_1,,,0.3
203004_3,,203004_3,203004,妲己,1,546,1000,234,76,95,,,,,,,118,,5,8,100,200,,,,11,,,0.02,0.5,5,,50,"1,000",8866,3803,1029,1287,1,20300400_1,20300401_1,20300402_1,20300403_1,20300404_1,,,0.3
203004_4,,203004_4,203004,妲己,1,546,1000,234,94,118,,,,,,,118,,5,8,100,200,,,,11,,,0.02,0.5,5,,50,"1,000",12803,5492,1486,1858,1,20300400_1,20300401_1,20300402_1,20300403_1,20300404_1,,,0.3
203004_5,,203004_5,203004,妲己,1,546,1000,234,128,161,,,,,,,118,,5,8,100,200,,,,11,,,0.02,0.5,5,,50,"1,000",20150,8645,2340,2925,1,20300400_1,20300401_1,20300402_1,20300403_1,20300404_1,,,0.3
202003_1,,202003_1,202001,王魔,1,491,1000,210,49,62,,,,,,,101,,5,8,100,200,,,,11,,,0.02,0.5,5,,50,"1,000",3100,1330,360,450,1,20200100_1,20200101_1,20200102_1,20200103_1,20200104_1,0,20200109,0.35
202003_2,,202003_2,202001,王魔,1,491,1000,210,56,71,,,,,,,101,,5,8,100,200,,,,11,,,0.02,0.5,5,,50,"1,000",4650,1995,540,675,1,20200100_1,20200101_1,20200102_1,20200103_1,20200104_1,0,20200109,0.35
202003_3,,202003_3,202001,王魔,1,491,1000,210,66,83,,,,,,,101,,5,8,100,200,,,,11,,,0.02,0.5,5,,50,"1,000",6820,2926,792,990,1,20200100_1,20200101_1,20200102_1,20200103_1,20200104_1,0,20200109,0.35
202003_4,,202003_4,202001,王魔,1,491,1000,210,80,101,,,,,,,101,,5,8,100,200,,,,11,,,0.02,0.5,5,,50,"1,000",9858,4229,1144,1431,1,20200100_1,20200101_1,20200102_1,20200103_1,20200104_1,0,20200109,0.35
202003_5,,202003_5,202001,王魔,1,491,1000,210,107,134,,,,,,,101,,5,8,100,200,,,,11,,,0.02,0.5,5,,50,"1,000",15500,6650,1800,2250,1,20200100_1,20200101_1,20200102_1,20200103_1,20200104_1,0,20200109,0.35
200012_1,,200012_1,200012,闻仲,1,546,1000,234,67,53,,,,,,,118,,5,8,100,200,,,,11,,,0.02,0.5,5,,50,"1,000",4030,1729,585,468,,20001200_1,20001201_1,20001202_1,20001203_1,20001204_1,0,,0.35
200012_2,,200012_2,200012,闻仲,1,546,1000,234,79,63,,,,,,,118,,5,8,100,200,,,,11,,,0.02,0.5,5,,50,"1,000",6045,2593,877,702,,20001200_1,20001201_1,20001202_1,20001203_1,20001204_1,0,,0.35
200012_3,,200012_3,200012,闻仲,1,546,1000,234,95,76,,,,,,,118,,5,8,100,200,,,,11,,,0.02,0.5,5,,50,"1,000",8866,3803,1287,1029,,20001200_1,20001201_1,20001202_1,20001203_1,20001204_1,0,,0.35
200012_4,,200012_4,200012,闻仲,1,546,1000,234,118,94,,,,,,,118,,5,8,100,200,,,,11,,,0.02,0.5,5,,50,"1,000",12803,5492,1858,1486,,20001200_1,20001201_1,20001202_1,20001203_1,20001204_1,0,,0.35
200012_5,,200012_5,200012,闻仲,1,546,1000,234,161,128,,,,,,,118,,5,8,100,200,,,,11,,,0.02,0.5,5,,50,"1,000",20150,8645,2925,2340,,20001200_1,20001201_1,20001202_1,20001203_1,20001204_1,0,,0.35
201012_1,,201012_1,201012,陈奇,1,658,1000,164,56,71,,,,,,,208,,5,8,100,200,,,,11,,,0.02,0.5,3,,50,"1,000",4400,1100,440,550,1,20101200_1,20101201_1,20101202_1,20101203_1,20101204_1,,,0.1
201012_2,,201012_2,201012,陈奇,1,658,1000,164,65,82,,,,,,,208,,5,8,100,200,,,,11,,,0.02,0.5,3,,50,"1,000",6600,1650,660,825,1,20101200_1,20101201_1,20101202_1,20101203_1,20101204_1,,,0.1
201012_3,,201012_3,201012,陈奇,1,658,1000,164,77,97,,,,,,,208,,5,8,100,200,,,,11,,,0.02,0.5,3,,50,"1,000",9680,2420,968,1210,1,20101200_1,20101201_1,20101202_1,20101203_1,20101204_1,,,0.1
201012_4,,201012_4,201012,陈奇,1,658,1000,164,94,118,,,,,,,208,,5,8,100,200,,,,11,,,0.02,0.5,3,,50,"1,000",13960,3490,1396,1745,1,20101200_1,20101201_1,20101202_1,20101203_1,20101204_1,,,0.1
201012_5,,201012_5,201012,陈奇,1,658,1000,164,127,159,,,,,,,208,,5,8,100,200,,,,11,,,0.02,0.5,3,,50,"1,000",22000,5500,2200,2750,1,20101200_1,20101201_1,20101202_1,20101203_1,20101204_1,,,0.1
200011_1,,200011_1,200011,郑伦,1,824,1000,148,66,83,,,,,,,257,,5,8,100,200,,,,11,,,0.02,0.5,3,,50,"1,000",5200,940,480,600,1,20001100_1,20001101_1,20001102_1,20001103_1,20001104_1,,,0.25
200011_2,,200011_2,200011,郑伦,1,824,1000,148,75,95,,,,,,,257,,5,8,100,200,,,,11,,,0.02,0.5,3,,50,"1,000",7800,1410,720,900,1,20001100_1,20001101_1,20001102_1,20001103_1,20001104_1,,,0.25
200011_3,,200011_3,200011,郑伦,1,824,1000,148,89,111,,,,,,,257,,5,8,100,200,,,,11,,,0.02,0.5,3,,50,"1,000",11440,2068,1056,1320,1,20001100_1,20001101_1,20001102_1,20001103_1,20001104_1,,,0.25
200011_4,,200011_4,200011,郑伦,1,824,1000,148,108,135,,,,,,,257,,5,8,100,200,,,,11,,,0.02,0.5,3,,50,"1,000",16536,2989,1526,1908,1,20001100_1,20001101_1,20001102_1,20001103_1,20001104_1,,,0.25
200011_5,,200011_5,200011,郑伦,1,824,1000,148,143,179,,,,,,,257,,5,8,100,200,,,,11,,,0.02,0.5,3,,50,"1,000",26000,4700,2400,3000,1,20001100_1,20001101_1,20001102_1,20001103_1,20001104_1,,,0.25
202010_1,,202010_1,202001,灵宝法师,1,509,1000,218,50,63,,,,,,,107,,5,8,100,200,,,,11,,,0.02,0.5,5,,50,"1,000",3410,1463,396,495,1,20200100_1,20200101_1,20200102_1,20200103_1,20200104_1,0,20200109,0.35
202010_2,,202010_2,202001,灵宝法师,1,509,1000,218,58,73,,,,,,,107,,5,8,100,200,,,,11,,,0.02,0.5,5,,50,"1,000",5115,2194,594,742,1,20200100_1,20200101_1,20200102_1,20200103_1,20200104_1,0,20200109,0.35
202010_3,,202010_3,202001,灵宝法师,1,509,1000,218,69,87,,,,,,,107,,5,8,100,200,,,,11,,,0.02,0.5,5,,50,"1,000",7502,3218,871,1089,1,20200100_1,20200101_1,20200102_1,20200103_1,20200104_1,0,20200109,0.35
202010_4,,202010_4,202001,灵宝法师,1,509,1000,218,85,106,,,,,,,107,,5,8,100,200,,,,11,,,0.02,0.5,5,,50,"1,000",10819,4641,1256,1570,1,20200100_1,20200101_1,20200102_1,20200103_1,20200104_1,0,20200109,0.35
202010_5,,202010_5,202001,灵宝法师,1,509,1000,218,114,143,,,,,,,107,,5,8,100,200,,,,11,,,0.02,0.5,5,,50,"1,000",17050,7315,1980,2475,1,20200100_1,20200101_1,20200102_1,20200103_1,20200104_1,0,20200109,0.35
203009_1,,203009_1,203001,赤精子,1,665,1000,122,55,69,,,,,,,68,,5,8,100,200,,,,11,,,0.02,0.5,6.5,,50,"1,000",4200,780,400,500,1,20300100_1,20300101_1,20300102_1,20300103_1,20300104_1,0,0,0.3
203009_2,,203009_2,203001,赤精子,1,665,1000,122,63,79,,,,,,,68,,5,8,100,200,,,,11,,,0.02,0.5,6.5,,50,"1,000",6300,1170,600,750,1,20300100_1,20300101_1,20300102_1,20300103_1,20300104_1,0,0,0.3
203009_3,,203009_3,203001,赤精子,1,665,1000,122,74,93,,,,,,,68,,5,8,100,200,,,,11,,,0.02,0.5,6.5,,50,"1,000",9240,1716,880,1100,1,20300100_1,20300101_1,20300102_1,20300103_1,20300104_1,0,0,0.3
203009_4,,203009_4,203001,赤精子,1,665,1000,122,89,112,,,,,,,68,,5,8,100,200,,,,11,,,0.02,0.5,6.5,,50,"1,000",13356,2480,1272,1590,1,20300100_1,20300101_1,20300102_1,20300103_1,20300104_1,0,0,0.3
203009_5,,203009_5,203001,赤精子,1,665,1000,122,119,149,,,,,,,68,,5,8,100,200,,,,11,,,0.02,0.5,6.5,,50,"1,000",21000,3900,2000,2500,1,20300100_1,20300101_1,20300102_1,20300103_1,20300104_1,0,0,0.3
203011_1,,203011_1,203001,普贤真人,1,715,1000,132,73,58,,,,,,,76,,5,8,100,200,,,,11,,,0.02,0.5,6.5,,50,"1,000",5040,936,600,480,,20300100_1,20300101_1,20300102_1,20300103_1,20300104_1,0,0,0.3
203011_2,,203011_2,203001,普贤真人,1,715,1000,132,85,67,,,,,,,76,,5,8,100,200,,,,11,,,0.02,0.5,6.5,,50,"1,000",7560,1404,900,720,,20300100_1,20300101_1,20300102_1,20300103_1,20300104_1,0,0,0.3
203011_3,,203011_3,203001,普贤真人,1,715,1000,132,101,81,,,,,,,76,,5,8,100,200,,,,11,,,0.02,0.5,6.5,,50,"1,000",11088,2059,1320,1056,,20300100_1,20300101_1,20300102_1,20300103_1,20300104_1,0,0,0.3
203011_4,,203011_4,203001,普贤真人,1,715,1000,132,125,99,,,,,,,76,,5,8,100,200,,,,11,,,0.02,0.5,6.5,,50,"1,000",16002,2971,1905,1524,,20300100_1,20300101_1,20300102_1,20300103_1,20300104_1,0,0,0.3
203011_5,,203011_5,203001,普贤真人,1,715,1000,132,169,135,,,,,,,76,,5,8,100,200,,,,11,,,0.02,0.5,6.5,,50,"1,000",25200,4680,3000,2400,,20300100_1,20300101_1,20300102_1,20300103_1,20300104_1,0,0,0.3
204008_1,,204008_1,204008,张天君,1,602,1000,129,69,55,,,,,,,62,,5,8,100,200,,,,11,,,0.02,0.5,6.5,,50,"1,000",3800,820,500,400,,20400800_1,20400801_1,20400802_1,20400803_1,20400804_1,0,0,0.5
204008_2,,204008_2,204008,张天君,1,602,1000,129,79,63,,,,,,,62,,5,8,100,200,,,,11,,,0.02,0.5,6.5,,50,"1,000",5700,1230,750,600,,20400800_1,20400801_1,20400802_1,20400803_1,20400804_1,0,0,0.5
204008_3,,204008_3,204008,张天君,1,602,1000,129,93,74,,,,,,,62,,5,8,100,200,,,,11,,,0.02,0.5,6.5,,50,"1,000",8360,1804,1100,880,,20400800_1,20400801_1,20400802_1,20400803_1,20400804_1,0,0,0.5
204008_4,,204008_4,204008,张天君,1,602,1000,129,112,89,,,,,,,62,,5,8,100,200,,,,11,,,0.02,0.5,6.5,,50,"1,000",12084,2607,1590,1272,,20400800_1,20400801_1,20400802_1,20400803_1,20400804_1,0,0,0.5
204008_5,,204008_5,204008,张天君,1,602,1000,129,149,119,,,,,,,62,,5,8,100,200,,,,11,,,0.02,0.5,6.5,,50,"1,000",19000,4100,2500,2000,,20400800_1,20400801_1,20400802_1,20400803_1,20400804_1,0,0,0.5
201006_1,,201006_1,201001,秦天君,1,658,1000,164,56,71,,,,,,,208,,5,8,100,200,,,,11,,,0.02,0.5,3,,50,"1,000",4400,1100,440,550,1,20100100_1,20100101_1,20100102_1,20100103_1,20100104_1,0,0,0.15
201006_2,,201006_2,201001,秦天君,1,658,1000,164,65,82,,,,,,,208,,5,8,100,200,,,,11,,,0.02,0.5,3,,50,"1,000",6600,1650,660,825,1,20100100_1,20100101_1,20100102_1,20100103_1,20100104_1,0,0,0.15
201006_3,,201006_3,201001,秦天君,1,658,1000,164,77,97,,,,,,,208,,5,8,100,200,,,,11,,,0.02,0.5,3,,50,"1,000",9680,2420,968,1210,1,20100100_1,20100101_1,20100102_1,20100103_1,20100104_1,0,0,0.15
201006_4,,201006_4,201001,秦天君,1,658,1000,164,94,118,,,,,,,208,,5,8,100,200,,,,11,,,0.02,0.5,3,,50,"1,000",13960,3490,1396,1745,1,20100100_1,20100101_1,20100102_1,20100103_1,20100104_1,0,0,0.15
201006_5,,201006_5,201001,秦天君,1,658,1000,164,127,159,,,,,,,208,,5,8,100,200,,,,11,,,0.02,0.5,3,,50,"1,000",22000,5500,2200,2750,1,20100100_1,20100101_1,20100102_1,20100103_1,20100104_1,0,0,0.15
200006_1,,200006_1,202001,赵天君,1,509,1000,218,50,63,,,,,,,107,,5,8,100,200,,,,11,,,0.02,0.5,5,,50,"1,000",3410,1463,396,495,1,20200100_1,20200101_1,20200102_1,20200103_1,20200104_1,0,20200109,0.35
200006_2,,200006_2,202001,赵天君,1,509,1000,218,58,73,,,,,,,107,,5,8,100,200,,,,11,,,0.02,0.5,5,,50,"1,000",5115,2194,594,742,1,20200100_1,20200101_1,20200102_1,20200103_1,20200104_1,0,20200109,0.35
200006_3,,200006_3,202001,赵天君,1,509,1000,218,69,87,,,,,,,107,,5,8,100,200,,,,11,,,0.02,0.5,5,,50,"1,000",7502,3218,871,1089,1,20200100_1,20200101_1,20200102_1,20200103_1,20200104_1,0,20200109,0.35
200006_4,,200006_4,202001,赵天君,1,509,1000,218,85,106,,,,,,,107,,5,8,100,200,,,,11,,,0.02,0.5,5,,50,"1,000",10819,4641,1256,1570,1,20200100_1,20200101_1,20200102_1,20200103_1,20200104_1,0,20200109,0.35
200006_5,,200006_5,202001,赵天君,1,509,1000,218,114,143,,,,,,,107,,5,8,100,200,,,,11,,,0.02,0.5,5,,50,"1,000",17050,7315,1980,2475,1,20200100_1,20200101_1,20200102_1,20200103_1,20200104_1,0,20200109,0.35
203007_1,,203007_1,203001,袁天君,1,690,1000,127,71,56,,,,,,,72,,5,8,100,200,,,,11,,,0.02,0.5,6.5,,50,"1,000",4620,858,550,440,,20300100_1,20300101_1,20300102_1,20300103_1,20300104_1,0,0,0.3
203007_2,,203007_2,203001,袁天君,1,690,1000,127,82,65,,,,,,,72,,5,8,100,200,,,,11,,,0.02,0.5,6.5,,50,"1,000",6930,1287,825,660,,20300100_1,20300101_1,20300102_1,20300103_1,20300104_1,0,0,0.3
203007_3,,203007_3,203001,袁天君,1,690,1000,127,97,77,,,,,,,72,,5,8,100,200,,,,11,,,0.02,0.5,6.5,,50,"1,000",10164,1887,1210,968,,20300100_1,20300101_1,20300102_1,20300103_1,20300104_1,0,0,0.3
203007_4,,203007_4,203001,袁天君,1,690,1000,127,118,94,,,,,,,72,,5,8,100,200,,,,11,,,0.02,0.5,6.5,,50,"1,000",14658,2722,1745,1396,,20300100_1,20300101_1,20300102_1,20300103_1,20300104_1,0,0,0.3
203007_5,,203007_5,203001,袁天君,1,690,1000,127,159,127,,,,,,,72,,5,8,100,200,,,,11,,,0.02,0.5,6.5,,50,"1,000",23100,4290,2750,2200,,20300100_1,20300101_1,20300102_1,20300103_1,20300104_1,0,0,0.3
203008_1,,203008_1,203001,金光圣母,1,690,1000,127,56,71,,,,,,,72,,5,8,100,200,,,,11,,,0.02,0.5,6.5,,50,"1,000",4620,858,440,550,1,20300100_1,20300101_1,20300102_1,20300103_1,20300104_1,0,0,0.3
203008_2,,203008_2,203001,金光圣母,1,690,1000,127,65,82,,,,,,,72,,5,8,100,200,,,,11,,,0.02,0.5,6.5,,50,"1,000",6930,1287,660,825,1,20300100_1,20300101_1,20300102_1,20300103_1,20300104_1,0,0,0.3
203008_3,,203008_3,203001,金光圣母,1,690,1000,127,77,97,,,,,,,72,,5,8,100,200,,,,11,,,0.02,0.5,6.5,,50,"1,000",10164,1887,968,1210,1,20300100_1,20300101_1,20300102_1,20300103_1,20300104_1,0,0,0.3
203008_4,,203008_4,203001,金光圣母,1,690,1000,127,94,118,,,,,,,72,,5,8,100,200,,,,11,,,0.02,0.5,6.5,,50,"1,000",14658,2722,1396,1745,1,20300100_1,20300101_1,20300102_1,20300103_1,20300104_1,0,0,0.3
203008_5,,203008_5,203001,金光圣母,1,690,1000,127,127,159,,,,,,,72,,5,8,100,200,,,,11,,,0.02,0.5,6.5,,50,"1,000",23100,4290,2200,2750,1,20300100_1,20300101_1,20300102_1,20300103_1,20300104_1,0,0,0.3
100001_1,,100001_1,100001,新手男,1,706,1000,176,75,59,,,,,,,230,,5,8,100,200,,,,,,,0.02,0.5,,,50,"1,000",5200,1300,650,520,,10000100_1,10000101_1,10000102_1,10000103_1,10000104_1,,,0.25
100001_2,,100001_2,100001,新手男,1,706,1000,176,88,70,,,,,,,230,,5,8,100,200,,,,,,,0.02,0.5,,,50,"1,000",7800,1950,975,780,,10000100_1,10000101_1,10000102_1,10000103_1,10000104_1,,,0.25
100001_3,,100001_3,100001,新手男,1,706,1000,176,106,84,,,,,,,230,,5,8,100,200,,,,,,,0.02,0.5,,,50,"1,000",11440,2860,1430,1144,,10000100_1,10000101_1,10000102_1,10000103_1,10000104_1,,,0.25
100001_4,,100001_4,100001,新手男,1,706,1000,176,131,105,,,,,,,230,,5,8,100,200,,,,,,,0.02,0.5,,,50,"1,000",16520,4130,2065,1652,,10000100_1,10000101_1,10000102_1,10000103_1,10000104_1,,,0.25
100001_5,,100001_5,100001,新手男,1,706,1000,176,179,143,,,,,,,230,,5,8,100,200,,,,,,,0.02,0.5,,,50,"1,000",26000,6500,3250,2600,,10000100_1,10000101_1,10000102_1,10000103_1,10000104_1,,,0.25
101001_1,,101001_1,101001,新手女,1,706,1000,176,75,59,,,,,,,230,,5,8,100,200,,,,,,,0.02,0.5,,,50,"1,000",5200,1300,650,520,,10100100_1,10100101_1,10100102_1,10100103_1,10100104_1,,,0.25
101001_2,,101001_2,101001,新手女,1,706,1000,176,88,70,,,,,,,230,,5,8,100,200,,,,,,,0.02,0.5,,,50,"1,000",7800,1950,975,780,,10100100_1,10100101_1,10100102_1,10100103_1,10100104_1,,,0.25
101001_3,,101001_3,101001,新手女,1,706,1000,176,106,84,,,,,,,230,,5,8,100,200,,,,,,,0.02,0.5,,,50,"1,000",11440,2860,1430,1144,,10100100_1,10100101_1,10100102_1,10100103_1,10100104_1,,,0.25
